"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:03,
1991-01,1497.520,
1991-04,-173.060,
1991-07,1109.146,
1991-10,155.090,
1992-01,1043.072,
1992-04,186.069,
1992-07,792.863,
1992-10,-83.532,
1993-01,601.965,
1993-04,483.500,
1993-07,58.028,
1993-10,-1075.535,
1994-01,-207.692,
1994-04,316.735,
1994-07,927.874,
1994-10,-749.850,
1995-01,910.721,
1995-04,850.437,
1995-07,-747.002,
1995-10,429.081,
1996-01,360.440,
1996-04,330.016,
1996-07,-1060.081,
1996-10,144.226,
1997-01,614.421,
1997-04,733.292,
1997-07,-1847.065,
1997-10,-1.713,
1998-01,1259.199,
1998-04,-110.288,
1998-07,1699.941,
1998-10,4517.654,
1999-01,2854.312,
1999-04,-836.579,
1999-07,493.529,
1999-10,56.445,
2000-01,2346.313,
2000-04,3383.868,
2000-07,-251.665,
2000-10,-3307.020,
2001-01,-798.580,
2001-04,-3193.358,
2001-07,915.849,
2001-10,-3505.588,
2002-01,3182.402,
2002-04,-1602.068,
2002-07,964.285,
2002-10,1874.813,
2003-01,437.104,
2003-04,-537.782,
2003-07,1679.555,
2003-10,-3066.697,
2004-01,2122.882,
2004-04,1023.167,
2004-07,243.472,
2004-10,-1774.347,
2005-01,4186.075,
2005-04,-1548.871,
2005-07,-97.557,
2005-10,-275.788,
2006-01,315.236,
2006-04,1175.396,
2006-07,2790.277,
2006-10,1719.652,
2007-01,-1251.023,
2007-04,1337.250,
2007-07,3899.724,
2007-10,-3599.284,
2008-01,7176.957,
2008-04,-259.283,
2008-07,2651.147,
2008-10,-3219.411,
2009-01,595.285,
2009-04,-821.817,
2009-07,3197.991,
2009-10,1677.051,
2010-01,-114.064,
2010-04,4646.258,
2010-07,1944.855,
2010-10,1151.164,
2011-01,-3956.165,
2011-04,-1877.746,
2011-07,3762.356,
2011-10,-92.923,
2012-01,3659.504,
2012-04,-531.882,
2012-07,-2412.393,
2012-10,33.317,
2013-01,3251.580,
2013-04,656.364,
2013-07,-4899.097,
2013-10,-6699.973,
2014-01,2841.277,Provisional value
2014-04,7559.578,Provisional value
2014-07,-142.184,Provisional value
2014-10,-12559.843,Provisional value
