"",BBFN1.M.DE.N.1.A.U3.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:35,
1995-01,44.559,
1995-02,44.325,
1995-03,43.593,
1995-04,45.328,
1995-05,44.671,
1995-06,45.268,
1995-07,46.568,
1995-08,42.932,
1995-09,45.010,
1995-10,44.654,
1995-11,44.753,
1995-12,38.773,
1996-01,43.936,
1996-02,42.628,
1996-03,41.834,
1996-04,47.673,
1996-05,49.885,
1996-06,46.947,
1996-07,46.478,
1996-08,45.997,
1996-09,44.707,
1996-10,47.867,
1996-11,49.064,
1996-12,48.199,
1997-01,50.765,
1997-02,52.686,
1997-03,51.212,
1997-04,56.146,
1997-05,56.587,
1997-06,52.406,
1997-07,53.539,
1997-08,51.828,
1997-09,52.876,
1997-10,56.719,
1997-11,52.470,
1997-12,46.367,
1998-01,57.092,
1998-02,61.378,
1998-03,62.711,
1998-04,69.846,
1998-05,71.704,
1998-06,65.175,
1998-07,64.436,
1998-08,58.623,
1998-09,59.285,
1998-10,62.262,
1998-11,56.886,
1998-12,47.159,
1999-01,44.228,
1999-02,48.591,
1999-03,49.511,
1999-04,51.882,
1999-05,53.625,
1999-06,53.420,
1999-07,50.190,
1999-08,49.361,
1999-09,48.560,
1999-10,49.775,
1999-11,50.680,
1999-12,39.749,
2000-01,45.300,
2000-02,49.959,
2000-03,58.467,
2000-04,59.168,
2000-05,63.187,
2000-06,64.510,
2000-07,60.242,
2000-08,57.724,
2000-09,50.981,
2000-10,56.364,
2000-11,48.300,
2000-12,42.148,
2001-01,54.402,
2001-02,61.791,
2001-03,63.528,
2001-04,68.325,
2001-05,56.829,
2001-06,57.638,
2001-07,55.985,
2001-08,56.518,
2001-09,56.299,
2001-10,58.127,
2001-11,54.458,
2001-12,56.858,
2002-01,60.657,
2002-02,62.423,
2002-03,60.883,
2002-04,66.617,
2002-05,62.447,
2002-06,57.067,
2002-07,62.825,
2002-08,62.465,
2002-09,63.703,
2002-10,69.191,
2002-11,67.132,
2002-12,57.698,
2003-01,66.110,
2003-02,70.379,
2003-03,76.258,
2003-04,79.846,
2003-05,78.292,
2003-06,75.617,
2003-07,81.229,
2003-08,77.331,
2003-09,73.797,
2003-10,78.140,
2003-11,74.278,
2003-12,70.356,
2004-01,78.939,
2004-02,79.908,
2004-03,80.467,
2004-04,80.690,
2004-05,82.433,
2004-06,82.666,
2004-07,83.949,
2004-08,83.742,
2004-09,84.775,
2004-10,86.973,
2004-11,82.145,
2004-12,74.816,
2005-01,80.855,
2005-02,83.349,
2005-03,84.236,
2005-04,82.884,
2005-05,82.400,
2005-06,80.507,
2005-07,80.508,
2005-08,76.250,
2005-09,81.079,
2005-10,78.376,
2005-11,79.008,
2005-12,72.197,
2006-01,78.190,
2006-02,81.021,
2006-03,81.961,
2006-04,85.304,
2006-05,81.124,
2006-06,80.991,
2006-07,79.317,
2006-08,79.711,
2006-09,83.077,
2006-10,84.267,
2006-11,83.609,
2006-12,73.954,
2007-01,82.618,
2007-02,87.663,
2007-03,87.027,
2007-04,87.647,
2007-05,84.884,
2007-06,83.462,
2007-07,86.150,
2007-08,90.353,
2007-09,91.683,
2007-10,99.767,
2007-11,91.886,
2007-12,83.867,
2008-01,96.988,
2008-02,93.863,
2008-03,92.796,
2008-04,96.636,
2008-05,91.087,
2008-06,87.112,
2008-07,89.080,
2008-08,87.835,
2008-09,89.886,
2008-10,88.622,
2008-11,87.531,
2008-12,88.959,
2009-01,90.875,
2009-02,90.008,
2009-03,96.975,
2009-04,99.326,
2009-05,96.194,
2009-06,97.196,
2009-07,97.464,
2009-08,98.208,
2009-09,97.927,
2009-10,100.903,
2009-11,97.280,
2009-12,92.268,
2010-01,93.280,
2010-02,96.575,
2010-03,101.724,
2010-04,105.626,
2010-05,105.395,
2010-06,102.498,
2010-07,105.565,
2010-08,107.214,
2010-09,112.010,
2010-10,113.563,
2010-11,113.609,
2010-12,100.879,
2011-01,108.071,
2011-02,109.560,
2011-03,104.794,
2011-04,105.588,
2011-05,107.776,
2011-06,105.906,
2011-07,104.001,
2011-08,109.772,
2011-09,106.017,
2011-10,112.725,
2011-11,107.669,
2011-12,107.278,
2012-01,109.423,
2012-02,110.601,
2012-03,121.113,
2012-04,113.594,
2012-05,114.832,
2012-06,125.645,
2012-07,128.365,
2012-08,120.292,
2012-09,125.594,
2012-10,122.776,
2012-11,123.888,
2012-12,119.191,
2013-01,123.172,
2013-02,123.918,
2013-03,126.611,
2013-04,122.899,
2013-05,120.227,
2013-06,121.616,
2013-07,117.710,
2013-08,120.472,
2013-09,126.334,
2013-10,128.063,
2013-11,130.020,
2013-12,128.779,
2014-01,131.519,
2014-02,129.154,
2014-03,139.007,
2014-04,139.572,
2014-05,143.732,
2014-06,136.964,
2014-07,135.246,
2014-08,138.902,
2014-09,138.733,
2014-10,136.652,
2014-11,131.699,
2014-12,123.553,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
