"",BBK01.OEYM02N,BBK01.OEYM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:39,
2002-01,0.362,
2002-04,0.729,
2002-07,0.365,
2002-10,0.572,
2003-01,0.465,
2003-04,0.695,
2003-07,0.323,
2003-10,0.690,
2004-01,0.417,
2004-04,0.441,
2004-07,0.340,
2004-10,0.595,
2005-01,0.495,
2005-04,0.399,
2005-07,0.455,
2005-10,0.486,
2006-01,0.430,
2006-04,1.658,
2006-07,0.533,
2006-10,0.641,
2007-01,0.660,
2007-04,0.756,
2007-07,1.963,
2007-10,0.747,
2008-01,1.085,
2008-04,0.704,
2008-07,1.060,
2008-10,1.011,
2009-01,1.078,
2009-04,1.141,
2009-07,1.333,
2009-10,1.185,
2010-01,1.781,
2010-04,5.104,
2010-07,3.092,
2010-10,0.858,
2011-01,4.740,
2011-04,5.165,
2011-07,3.251,
2011-10,3.843,
2012-01,7.332,
2012-04,7.956,
2012-07,3.236,
2012-10,0.960,
2013-01,1.149,
2013-04,1.086,
2013-07,0.618,
2013-10,0.541,
2014-01,0.381,
2014-04,0.371,
2014-07,0.194,
