"",BBFB1.Q.N.DE.R5.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:36,
1991-01,1510.997,
1991-04,1494.757,
1991-07,1642.039,
1991-10,1747.783,
1992-01,1624.100,
1992-04,1603.218,
1992-07,1629.700,
1992-10,1572.363,
1993-01,1390.415,
1993-04,1344.250,
1993-07,1409.880,
1993-10,1320.652,
1994-01,1211.061,
1994-04,1286.512,
1994-07,1324.925,
1994-10,1283.242,
1995-01,1186.908,
1995-04,1121.054,
1995-07,1040.192,
1995-10,974.672,
1996-01,1204.303,
1996-04,1141.739,
1996-07,1138.166,
1996-10,1344.796,
1997-01,1378.527,
1997-04,1223.150,
1997-07,1258.443,
1997-10,1230.362,
1998-01,1498.960,
1998-04,1445.681,
1998-07,1383.293,
1998-10,1316.348,
1999-01,1184.698,
1999-04,1396.017,
1999-07,1817.115,
1999-10,2257.260,
2000-01,2420.481,
2000-04,2750.554,
2000-07,3208.970,
2000-10,3371.019,
2001-01,2462.139,
2001-04,2690.068,
2001-07,2440.487,
2001-10,2117.292,
2002-01,1945.621,
2002-04,2248.028,
2002-07,2026.765,
2002-10,2543.731,
2003-01,2631.650,
2003-04,2170.567,
2003-07,1631.195,
2003-10,2301.816,
2004-01,2178.071,
2004-04,2211.885,
2004-07,2798.255,
2004-10,3275.519,
2005-01,2142.071,
2005-04,2567.311,
2005-07,3382.486,
2005-10,3463.101,
2006-01,3060.918,
2006-04,3009.356,
2006-07,3741.007,
2006-10,3494.285,
2007-01,2640.811,
2007-04,2614.252,
2007-07,3070.222,
2007-10,3043.212,
2008-01,3579.623,
2008-04,4263.510,
2008-07,4553.992,
2008-10,3542.386,
2009-01,2010.620,
2009-04,2071.535,
2009-07,2468.892,
2009-10,2317.641,
2010-01,2131.502,
2010-04,2925.409,
2010-07,2927.161,
2010-10,2878.175,
2011-01,3704.795,
2011-04,4017.155,
2011-07,3173.439,
2011-10,3061.489,
2012-01,3742.582,
2012-04,3725.777,
2012-07,4094.606,
2012-10,4836.376,
2013-01,4183.741,
2013-04,3953.715,
2013-07,3994.970,
2013-10,3272.531,
2014-01,2694.837,Provisional value
2014-04,2477.349,Provisional value
2014-07,3073.896,Provisional value
