"",BBSF2.M.1.S.00000.SON01.A.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.A.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net sales receipts / Not defined / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:48,
2009-09,623,
2009-10,325,
2009-11,1661,
2009-12,111,
2010-01,551,
2010-02,39,
2010-03,380,
2010-04,90,
2010-05,222,
2010-06,47,
2010-07,529,
2010-08,77,
2010-09,-411,
2010-10,203,
2010-11,109,
2010-12,388,
2011-01,30,
2011-02,171,
2011-03,53,
2011-04,89,
2011-05,174,
2011-06,110,
2011-07,48,
2011-08,918,
2011-09,29,
2011-10,89,
2011-11,89,
2011-12,196,
2012-01,126,
2012-02,-121,
2012-03,253,
2012-04,82,
2012-05,62,
2012-06,-108,
2012-07,204,
2012-08,551,
2012-09,201,
2012-10,18,
2012-11,75,
2012-12,418,
2013-01,162,
2013-02,47,
2013-03,430,
2013-04,999,
2013-05,396,
2013-06,42,
2013-07,323,
2013-08,123,
2013-09,372,
2013-10,-114,
2013-11,-69,
2013-12,474,
2014-01,247,
2014-02,577,
2014-03,364,
2014-04,106,
2014-05,223,
2014-06,264,
2014-07,588,
2014-08,215,
2014-09,287,
2014-10,159,
2014-11,653,
