"",BBK01.OEHJ06N,BBK01.OEHJ06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:46,
2002-01,7.446,
2002-04,7.524,
2002-07,7.485,
2002-10,7.504,
2003-01,7.583,
2003-04,7.560,
2003-07,7.622,
2003-10,7.546,
2004-01,7.469,
2004-04,7.606,
2004-07,7.766,
2004-10,7.673,
2005-01,7.673,
2005-04,7.745,
2005-07,7.553,
2005-10,7.385,
2006-01,7.282,
2006-04,7.307,
2006-07,7.187,
2006-10,7.066,
2007-01,7.017,
2007-04,7.022,
2007-07,6.908,
2007-10,6.768,
2008-01,6.561,
2008-04,6.437,
2008-07,6.291,
2008-10,6.214,
2009-01,6.139,
2009-04,6.125,
2009-07,6.196,
2009-10,6.265,
2010-01,6.224,
2010-04,6.118,
2010-07,6.038,
2010-10,6.001,
2011-01,6.021,
2011-04,5.912,
2011-07,5.906,
2011-10,5.797,
2012-01,5.638,
2012-04,5.566,
2012-07,5.494,
2012-10,5.392,
2013-01,5.243,
2013-04,5.204,
2013-07,5.091,
2013-10,4.993,
2014-01,4.921,
2014-04,4.596,
2014-07,4.378,
