"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.FR.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / France / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:02,
2009-09,21860,
2009-10,21175,
2009-11,21602,
2009-12,22740,
2010-01,23170,
2010-02,22952,
2010-03,23528,
2010-04,24385,
2010-05,25326,
2010-06,25984,
2010-07,25656,
2010-08,27012,
2010-09,26365,
2010-10,26037,
2010-11,25781,
2010-12,25034,
2011-01,23801,
2011-02,24272,
2011-03,24106,
2011-04,24279,
2011-05,24549,
2011-06,24433,
2011-07,25512,
2011-08,26949,
2011-09,27406,
2011-10,26588,
2011-11,25840,
2011-12,27833,
2012-01,26802,
2012-02,28683,
2012-03,28728,
2012-04,28995,
2012-05,30798,
2012-06,30116,
2012-07,30988,
2012-08,31649,
2012-09,30869,
2012-10,31164,
2012-11,31191,
2012-12,31220,
2013-01,30425,
2013-02,30321,
2013-03,30919,
2013-04,32165,
2013-05,31282,
2013-06,30613,
2013-07,31544,
2013-08,30786,
2013-09,30961,
2013-10,31386,
2013-11,31173,
2013-12,30644,
2014-01,31620,
2014-02,35114,
2014-03,35511,
2014-04,35570,
2014-05,36887,
2014-06,37171,
2014-07,37236,
2014-08,37496,
2014-09,36708,
2014-10,36066,
2014-11,37244,
