"",BBK01.OECO01M,BBK01.OECO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:03,
2002-01,1.513,
2002-04,1.459,
2002-07,1.188,
2002-10,1.164,
2003-01,1.314,
2003-04,1.303,
2003-07,1.237,
2003-10,1.380,
2004-01,1.354,
2004-04,1.289,
2004-07,1.258,
2004-10,1.797,
2005-01,5.314,
2005-04,5.247,
2005-07,5.227,
2005-10,5.156,
2006-01,5.123,
2006-04,5.062,
2006-07,4.984,
2006-10,4.899,
2007-01,4.885,
2007-04,5.012,
2007-07,4.916,
2007-10,4.750,
2008-01,4.799,
2008-04,4.725,
2008-07,4.894,
2008-10,4.733,
2009-01,4.783,
2009-04,4.907,
2009-07,5.205,
2009-10,5.659,
2010-01,5.708,
2010-04,5.811,
2010-07,5.732,
2010-10,5.788,
2011-01,5.829,
2011-04,5.786,
2011-07,5.639,
2011-10,5.606,
2012-01,5.554,
2012-04,5.997,
2012-07,5.932,
2012-10,5.848,
2013-01,5.813,
2013-04,5.644,
2013-07,5.549,
2013-10,5.361,
2014-01,5.310,
2014-04,5.228,
2014-07,5.088,
