"",BBK01.OELB05R,BBK01.OELB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:06,
2002-01,1.723,
2002-04,1.732,
2002-07,1.736,
2002-10,1.757,
2003-01,1.756,
2003-04,1.772,
2003-07,1.753,
2003-10,1.729,
2004-01,1.714,
2004-04,1.726,
2004-07,1.783,
2004-10,1.685,
2005-01,1.668,
2005-04,1.671,
2005-07,1.669,
2005-10,1.654,
2006-01,1.645,
2006-04,1.745,
2006-07,1.744,
2006-10,1.718,
2007-01,1.719,
2007-04,1.736,
2007-07,1.731,
2007-10,1.727,
2008-01,1.724,
2008-04,1.731,
2008-07,1.754,
2008-10,1.760,
2009-01,1.795,
2009-04,1.822,
2009-07,1.793,
2009-10,1.813,
2010-01,1.830,
2010-04,1.846,
2010-07,1.860,
2010-10,1.853,
2011-01,1.873,
2011-04,1.910,
2011-07,1.926,
2011-10,1.932,
2012-01,1.958,
2012-04,2.494,
2012-07,2.525,
2012-10,2.544,
2013-01,2.561,
2013-04,2.636,
2013-07,2.670,
2013-10,2.684,
2014-01,2.700,
2014-04,2.739,
2014-07,2.766,
