"",BBK01.OEAH21J,BBK01.OEAH21J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:02,
2002-01,6.347,
2002-04,6.418,
2002-07,6.458,
2002-10,6.652,
2003-01,6.470,
2003-04,6.538,
2003-07,6.611,
2003-10,6.931,
2004-01,7.170,
2004-04,7.446,
2004-07,7.907,
2004-10,8.246,
2005-01,8.863,
2005-04,8.962,
2005-07,9.159,
2005-10,9.894,
2006-01,10.003,
2006-04,10.374,
2006-07,10.772,
2006-10,10.909,
2007-01,11.356,
2007-04,11.404,
2007-07,11.611,
2007-10,11.834,
2008-01,11.960,
2008-04,12.119,
2008-07,12.035,
2008-10,12.048,
2009-01,12.318,
2009-04,12.473,
2009-07,12.454,
2009-10,12.565,
2010-01,12.586,
2010-04,12.370,
2010-07,12.158,
2010-10,12.144,
2011-01,12.168,
2011-04,12.191,
2011-07,12.036,
2011-10,11.851,
2012-01,11.843,
2012-04,11.606,
2012-07,11.281,
2012-10,10.997,
2013-01,10.798,
2013-04,9.254,
2013-07,8.204,
2013-10,8.049,
2014-01,6.305,
2014-04,6.084,
2014-07,5.568,
