"",BBFB1.Q.N.DE.W03100.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:24,
1991-01,1982.996,
1991-04,1947.466,
1991-07,1904.805,
1991-10,1937.633,
1992-01,2083.108,
1992-04,2156.318,
1992-07,2376.041,
1992-10,2527.120,
1993-01,2385.235,
1993-04,2320.873,
1993-07,2310.583,
1993-10,2261.387,
1994-01,2178.165,
1994-04,2317.332,
1994-07,2236.152,
1994-10,2279.899,
1995-01,2287.143,
1995-04,2403.704,
1995-07,2476.128,
1995-10,2340.543,
1996-01,2571.552,
1996-04,2543.148,
1996-07,2629.447,
1996-10,2789.462,
1997-01,2470.418,
1997-04,2368.305,
1997-07,2319.682,
1997-10,2414.211,
1998-01,2375.627,
1998-04,2111.487,
1998-07,2308.299,
1998-10,2179.350,
1999-01,2151.162,
1999-04,2306.715,
1999-07,2564.638,
1999-10,2979.641,
2000-01,3725.848,
2000-04,4008.934,
2000-07,4013.256,
2000-10,4089.088,
2001-01,3309.350,
2001-04,2999.948,
2001-07,2769.595,
2001-10,2711.713,
2002-01,2825.090,
2002-04,2823.324,
2002-07,2899.904,
2002-10,2845.676,
2003-01,3037.425,
2003-04,2957.080,
2003-07,3025.698,
2003-10,3047.826,
2004-01,4353.143,
2004-04,4462.806,
2004-07,4890.392,
2004-10,5276.830,
2005-01,4798.888,
2005-04,5096.769,
2005-07,5301.542,
2005-10,5925.178,
2006-01,5903.614,
2006-04,6069.908,
2006-07,6279.517,
2006-10,6006.262,
2007-01,7718.943,
2007-04,7701.401,
2007-07,6946.000,
2007-10,6201.313,
2008-01,6016.301,
2008-04,4706.532,
2008-07,4571.851,
2008-10,4732.640,
2009-01,4269.137,
2009-04,4308.110,
2009-07,4381.713,
2009-10,4519.564,
2010-01,5784.044,
2010-04,6181.097,
2010-07,6250.716,
2010-10,6552.766,
2011-01,5905.917,
2011-04,6179.209,
2011-07,6516.465,
2011-10,6485.073,
2012-01,6343.803,
2012-04,6393.463,
2012-07,6422.481,
2012-10,6391.967,
2013-01,7255.746,
2013-04,7326.200,
2013-07,7350.705,
2013-10,7545.413,
2014-01,6920.096,Provisional value
2014-04,7232.687,Provisional value
2014-07,7738.337,Provisional value
