"",BBK01.OELO03G,BBK01.OELO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:40,
2002-01,6.558,
2002-04,5.553,
2002-07,4.729,
2002-10,4.685,
2003-01,5.511,
2003-04,4.394,
2003-07,4.107,
2003-10,4.819,
2004-01,5.219,
2004-04,4.124,
2004-07,4.227,
2004-10,4.545,
2005-01,4.318,
2005-04,4.338,
2005-07,4.315,
2005-10,4.245,
2006-01,4.959,
2006-04,4.688,
2006-07,4.485,
2006-10,5.313,
2007-01,5.784,
2007-04,5.092,
2007-07,4.774,
2007-10,5.197,
2008-01,5.661,
2008-04,4.885,
2008-07,4.683,
2008-10,5.097,
2009-01,4.120,
2009-04,4.497,
2009-07,4.449,
2009-10,4.509,
2010-01,4.081,
2010-04,3.860,
2010-07,3.589,
2010-10,3.980,
2011-01,3.947,
2011-04,4.152,
2011-07,3.935,
2011-10,4.297,
2012-01,4.001,
2012-04,4.282,
2012-07,3.644,
2012-10,3.937,
2013-01,4.038,
2013-04,4.009,
2013-07,3.406,
2013-10,3.837,
2014-01,4.120,
2014-04,4.216,
2014-07,3.352,
