"",BBK01.OEAD10Q,BBK01.OEAD10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:16,
2002-01,0.927,
2002-04,0.844,
2002-07,0.819,
2002-10,0.827,
2003-01,0.799,
2003-04,0.853,
2003-07,0.862,
2003-10,0.928,
2004-01,0.859,
2004-04,0.723,
2004-07,0.713,
2004-10,0.793,
2005-01,0.794,
2005-04,0.823,
2005-07,0.820,
2005-10,0.857,
2006-01,0.832,
2006-04,0.907,
2006-07,0.894,
2006-10,0.849,
2007-01,0.952,
2007-04,0.905,
2007-07,0.878,
2007-10,0.803,
2008-01,0.767,
2008-04,0.705,
2008-07,0.678,
2008-10,0.697,
2009-01,0.630,
2009-04,0.644,
2009-07,0.693,
2009-10,0.689,
2010-01,0.567,
2010-04,0.543,
2010-07,0.448,
2010-10,0.429,
2011-01,0.414,
2011-04,0.396,
2011-07,0.408,
2011-10,0.408,
2012-01,0.410,
2012-04,0.484,
2012-07,0.506,
2012-10,0.523,
2013-01,0.558,
2013-04,0.434,
2013-07,0.425,
2013-10,0.408,
2014-01,0.419,
2014-04,0.424,
2014-07,0.412,
