"",BBK01.OEAH52K,BBK01.OEAH52K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:48,
2002-01,0.053,
2002-04,0.053,
2002-07,0.053,
2002-10,0.053,
2003-01,0.049,
2003-04,0.048,
2003-07,0.047,
2003-10,0.048,
2004-01,0.045,
2004-04,0.042,
2004-07,0.041,
2004-10,0.039,
2005-01,0.032,
2005-04,0.028,
2005-07,0.019,
2005-10,0.018,
2006-01,0.016,
2006-04,0.012,
2006-07,0.011,
2006-10,0.009,
2007-01,0.008,
2007-04,0.007,
2007-07,0.007,
2007-10,0.007,
2008-01,0.007,
2008-04,0.007,
2008-07,0.007,
2008-10,0.008,
2009-01,0.008,
2009-04,0.008,
2009-07,0.008,
2009-10,0.010,
2010-01,0.012,
2010-04,0.018,
2010-07,0.019,
2010-10,0.019,
2011-01,0.019,
2011-04,0.025,
2011-07,0.029,
2011-10,0.027,
2012-01,0.028,
2012-04,0.028,
2012-07,0.029,
2012-10,0.030,
2013-01,0.027,
2013-04,0.022,
2013-07,0.028,
2013-10,0.028,
2014-01,0.027,
2014-04,0.023,
2014-07,0.043,
