"",BBSF2.M.1.P.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Number outstanding,
unit,STUECK (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:28,
1992-01,83721,
1992-02,83888,
1992-03,83590,
1992-04,83217,
1992-05,82836,
1992-06,82535,
1992-07,82513,
1992-08,82246,
1992-09,81608,
1992-10,81350,
1992-11,81267,
1992-12,80865,
1993-01,80823,
1993-02,81936,
1993-03,82587,
1993-04,83422,
1993-05,84251,
1993-06,89692,
1993-07,89575,
1993-08,90648,
1993-09,91737,
1993-10,93998,
1993-11,100154,
1993-12,103746,
1994-01,119128,
1994-02,128008,
1994-03,136075,
1994-04,139606,
1994-05,141190,
1994-06,142661,
1994-07,144489,
1994-08,145069,
1994-09,144248,
1994-10,142294,
1994-11,147645,
1994-12,152936,
1995-01,152837,
1995-02,149713,
1995-03,146751,
1995-04,145423,
1995-05,143345,
1995-06,141135,
1995-07,139253,
1995-08,139091,
1995-09,137805,
1995-10,138297,
1995-11,138545,
1995-12,141479,
1996-01,139218,
1996-02,137126,
1996-03,138214,
1996-04,138859,
1996-05,138418,
1996-06,138950,
1996-07,138591,
1996-08,138935,
1996-09,139630,
1996-10,140294,
1996-11,141659,
1996-12,143528,
1997-01,144254,
1997-02,145910,
1997-03,147712,
1997-04,148681,
1997-05,154304,
1997-06,156059,
1997-07,158490,
1997-08,159561,
1997-09,161543,
1997-10,165327,
1997-11,167606,
1997-12,168244,
1998-01,171018,
1998-02,181394,
1998-03,190256,
1998-04,197032,
1998-05,200216,
1998-06,202085,
1998-07,203996,
1998-08,207395,
1998-09,211977,
1998-10,212595,
1998-11,217365,
1998-12,223180,
1999-01,231517,
1999-02,236633,
1999-03,239657,
1999-04,245319,
1999-05,250498,
1999-06,253195,
1999-07,257541,
1999-08,260435,
1999-09,262040,
1999-10,267331,
1999-11,273166,
1999-12,278132,
2000-01,282646,
2000-02,288920,
2000-03,294352,
2000-04,303114,
2000-05,310129,
2000-06,314285,
2000-07,321240,
2000-08,325719,
2000-09,330410,
2000-10,336232,
2000-11,341558,
2000-12,346502,
2001-01,356136,
2001-02,356801,
2001-03,359421,
2001-04,353656,
2001-05,351528,
2001-06,355937,
2001-07,358777,
2001-08,362541,
2001-09,354110,
2001-10,354449,
2001-11,357921,
2001-12,360556,
2002-01,366113,
2002-02,368801,
2002-03,370179,
2002-04,371210,
2002-05,381794,
2002-06,386551,
2002-07,387563,
2002-08,386874,
2002-09,380497,
2002-10,377177,
2002-11,375730,
2002-12,374758,
2003-01,369920,
2003-02,368988,
2003-03,364948,
2003-04,361693,
2003-05,364924,
2003-06,368664,
2003-07,372900,
2003-08,377900,
2003-09,376920,
2003-10,375681,
2003-11,377000,
2003-12,380172,
2004-01,373133,
2004-02,379633,
2004-03,384009,
2004-04,388176,
2004-05,389334,
2004-06,387275,
2004-07,389584,
2004-08,389378,
2004-09,394990,
2004-10,394253,
2004-11,394682,
2004-12,395761,
2005-01,394830,
2005-02,399042,
2005-03,394213,
2005-04,395214,
2005-05,394943,
2005-06,406036,
2005-07,412601,
2005-08,412895,
2005-09,416042,
2005-10,420683,
2005-11,423260,
2005-12,425311,
2006-01,432525,
2006-02,437604,
2006-03,441767,
2006-04,441357,
2006-05,443274,
2006-06,442805,
2006-07,472958,
2006-08,470675,
2006-09,474646,
2006-10,471638,
2006-11,471833,
2006-12,471052,
2007-01,472243,
2007-02,477323,
2007-03,473728,
2007-04,520648,
2007-05,526863,
2007-06,525494,
2007-07,528675,
2007-08,529378,
2007-09,534924,
2007-10,556619,
2007-11,557298,
2007-12,566561,
2008-01,564379,
2008-02,573741,
2008-03,571742,
2008-04,562218,
2008-05,561718,
2008-06,544449,
2008-07,542559,
2008-08,542956,
2008-09,540390,
2008-10,518886,
2008-11,504268,
2008-12,556980,
2009-01,557426,
2009-02,559143,
2009-03,549444,
2009-04,486414,
2009-05,452857,
2009-06,453994,
2009-07,456579,
2009-08,459463,
2009-09,419836,
2009-10,423039,
2009-11,426627,
2009-12,434901,
2010-01,447372,
2010-02,455438,
2010-03,460632,
2010-04,467146,
2010-05,474865,
2010-06,481679,
2010-07,486663,
2010-08,496968,
2010-09,499591,
2010-10,509339,
2010-11,517015,
2010-12,511657,
2011-01,512424,
2011-02,512538,
2011-03,511487,
2011-04,511306,
2011-05,512054,
2011-06,509606,
2011-07,509971,
2011-08,494393,
2011-09,487960,
2011-10,486034,
2011-11,478847,
2011-12,468924,
2012-01,472934,
2012-02,470610,
2012-03,469355,
2012-04,468582,
2012-05,470214,
2012-06,465862,
2012-07,464561,
2012-08,460466,
2012-09,463557,
2012-10,463923,
2012-11,463564,
2012-12,460864,
2013-01,468286,
2013-02,473913,
2013-03,474644,
2013-04,477831,
2013-05,481044,
2013-06,492027,
2013-07,493639,
2013-08,495366,
2013-09,494562,
2013-10,494756,
2013-11,494199,
2013-12,503640,
2014-01,507414,
2014-02,511851,
2014-03,518804,
2014-04,525454,
2014-05,531163,
2014-06,535383,
2014-07,544484,
2014-08,563479,
2014-09,565428,
2014-10,570144,
2014-11,562697,
