"",BBK01.OECB06V,BBK01.OECB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:21,
2002-01,1.412,
2002-04,1.413,
2002-07,1.397,
2002-10,1.341,
2003-01,1.210,
2003-04,1.213,
2003-07,1.436,
2003-10,1.286,
2004-01,1.134,
2004-04,1.079,
2004-07,1.092,
2004-10,0.963,
2005-01,0.997,
2005-04,0.992,
2005-07,0.978,
2005-10,0.869,
2006-01,0.894,
2006-04,0.945,
2006-07,0.981,
2006-10,0.928,
2007-01,0.813,
2007-04,0.834,
2007-07,0.821,
2007-10,0.834,
2008-01,0.851,
2008-04,0.955,
2008-07,1.069,
2008-10,0.978,
2009-01,0.930,
2009-04,0.882,
2009-07,0.881,
2009-10,0.830,
2010-01,0.869,
2010-04,0.803,
2010-07,0.945,
2010-10,0.854,
2011-01,0.848,
2011-04,0.928,
2011-07,0.986,
2011-10,0.941,
2012-01,0.916,
2012-04,0.904,
2012-07,0.997,
2012-10,0.961,
2013-01,1.052,
2013-04,0.890,
2013-07,1.090,
2013-10,0.998,
2014-01,1.058,
2014-04,1.274,
2014-07,1.169,
