"",BBK01.OEAA27J,BBK01.OEAA27J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:41,
2002-01,0.519,
2002-04,0.503,
2002-07,0.494,
2002-10,0.483,
2003-01,0.448,
2003-04,0.439,
2003-07,0.435,
2003-10,0.433,
2004-01,0.427,
2004-04,0.407,
2004-07,0.400,
2004-10,0.414,
2005-01,0.412,
2005-04,0.410,
2005-07,0.398,
2005-10,0.330,
2006-01,0.312,
2006-04,0.332,
2006-07,0.331,
2006-10,0.316,
2007-01,0.302,
2007-04,0.291,
2007-07,0.279,
2007-10,0.280,
2008-01,0.303,
2008-04,0.282,
2008-07,0.266,
2008-10,0.234,
2009-01,0.239,
2009-04,0.220,
2009-07,0.222,
2009-10,0.221,
2010-01,0.234,
2010-04,0.236,
2010-07,0.229,
2010-10,0.230,
2011-01,0.226,
2011-04,0.231,
2011-07,0.229,
2011-10,0.217,
2012-01,0.217,
2012-04,0.227,
2012-07,0.214,
2012-10,0.214,
2013-01,0.210,
2013-04,0.202,
2013-07,0.198,
2013-10,0.185,
2014-01,0.181,
2014-04,0.171,
2014-07,0.176,
