"",BBK01.OEHI03V,BBK01.OEHI03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:42,
2002-01,1.790,
2002-04,1.865,
2002-07,1.609,
2002-10,1.868,
2003-01,1.660,
2003-04,1.496,
2003-07,1.658,
2003-10,1.746,
2004-01,1.419,
2004-04,1.326,
2004-07,1.265,
2004-10,1.494,
2005-01,1.311,
2005-04,1.270,
2005-07,1.284,
2005-10,1.459,
2006-01,1.288,
2006-04,1.602,
2006-07,1.192,
2006-10,1.620,
2007-01,1.703,
2007-04,1.603,
2007-07,1.633,
2007-10,1.899,
2008-01,1.861,
2008-04,1.902,
2008-07,1.956,
2008-10,2.543,
2009-01,1.705,
2009-04,1.420,
2009-07,1.157,
2009-10,1.274,
2010-01,1.076,
2010-04,1.132,
2010-07,1.104,
2010-10,1.143,
2011-01,0.996,
2011-04,1.014,
2011-07,1.301,
2011-10,1.084,
2012-01,0.801,
2012-04,1.121,
2012-07,1.035,
2012-10,1.132,
2013-01,1.037,
2013-04,0.973,
2013-07,0.912,
2013-10,1.097,
2014-01,1.151,
2014-04,1.248,
2014-07,1.196,
