"",BBDE1.M.DE.Y.AEA1.A2R260050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R260050.F.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / 26+27 Manufacture of computer, electronic, optical products and of electrical equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:28,
1991-01,85.2,
1991-02,80.9,
1991-03,80.0,
1991-04,84.1,
1991-05,82.7,
1991-06,79.5,
1991-07,77.3,
1991-08,84.6,
1991-09,76.9,
1991-10,81.7,
1991-11,79.3,
1991-12,79.6,
1992-01,82.4,
1992-02,81.3,
1992-03,88.1,
1992-04,87.5,
1992-05,83.9,
1992-06,78.4,
1992-07,79.2,
1992-08,79.1,
1992-09,80.7,
1992-10,75.0,
1992-11,76.1,
1992-12,74.9,
1993-01,73.9,
1993-02,74.8,
1993-03,70.3,
1993-04,67.7,
1993-05,67.8,
1993-06,69.3,
1993-07,72.0,
1993-08,72.4,
1993-09,76.2,
1993-10,70.3,
1993-11,66.9,
1993-12,73.9,
1994-01,68.8,
1994-02,68.8,
1994-03,70.0,
1994-04,68.6,
1994-05,70.1,
1994-06,70.1,
1994-07,70.7,
1994-08,70.0,
1994-09,77.2,
1994-10,74.5,
1994-11,74.7,
1994-12,84.5,
1995-01,74.3,
1995-02,75.4,
1995-03,74.7,
1995-04,74.9,
1995-05,71.2,
1995-06,73.0,
1995-07,74.8,
1995-08,71.4,
1995-09,78.3,
1995-10,65.7,
1995-11,68.7,
1995-12,75.4,
1996-01,75.2,
1996-02,73.5,
1996-03,75.2,
1996-04,72.9,
1996-05,73.6,
1996-06,76.2,
1996-07,76.6,
1996-08,73.9,
1996-09,75.3,
1996-10,76.4,
1996-11,78.3,
1996-12,78.5,
1997-01,77.7,
1997-02,74.6,
1997-03,78.6,
1997-04,80.0,
1997-05,77.5,
1997-06,82.1,
1997-07,78.8,
1997-08,79.6,
1997-09,80.2,
1997-10,79.2,
1997-11,82.5,
1997-12,79.6,
1998-01,81.6,
1998-02,81.4,
1998-03,81.8,
1998-04,82.0,
1998-05,83.6,
1998-06,80.3,
1998-07,82.0,
1998-08,79.6,
1998-09,84.3,
1998-10,77.8,
1998-11,79.6,
1998-12,78.9,
1999-01,78.7,
1999-02,81.6,
1999-03,82.7,
1999-04,79.4,
1999-05,86.3,
1999-06,90.2,
1999-07,92.5,
1999-08,95.3,
1999-09,92.0,
1999-10,93.1,
1999-11,93.6,
1999-12,96.3,
2000-01,92.2,
2000-02,97.6,
2000-03,101.7,
2000-04,104.0,
2000-05,105.3,
2000-06,109.1,
2000-07,107.2,
2000-08,115.1,
2000-09,112.8,
2000-10,112.1,
2000-11,104.6,
2000-12,107.4,
2001-01,100.7,
2001-02,102.3,
2001-03,104.9,
2001-04,94.2,
2001-05,103.3,
2001-06,99.9,
2001-07,96.0,
2001-08,94.9,
2001-09,89.3,
2001-10,89.5,
2001-11,91.4,
2001-12,98.1,
2002-01,91.5,
2002-02,94.8,
2002-03,94.8,
2002-04,94.5,
2002-05,95.1,
2002-06,95.0,
2002-07,89.4,
2002-08,93.6,
2002-09,94.5,
2002-10,93.7,
2002-11,97.0,
2002-12,93.0,
2003-01,95.1,
2003-02,93.6,
2003-03,92.6,
2003-04,92.5,
2003-05,89.8,
2003-06,94.8,
2003-07,94.6,
2003-08,94.8,
2003-09,99.7,
2003-10,96.1,
2003-11,99.4,
2003-12,98.4,
2004-01,96.1,
2004-02,99.8,
2004-03,97.3,
2004-04,98.1,
2004-05,102.2,
2004-06,100.2,
2004-07,102.0,
2004-08,98.2,
2004-09,96.4,
2004-10,98.0,
2004-11,96.8,
2004-12,97.1,
2005-01,99.1,
2005-02,96.7,
2005-03,98.6,
2005-04,98.0,
2005-05,98.9,
2005-06,101.9,
2005-07,102.2,
2005-08,103.9,
2005-09,104.9,
2005-10,104.8,
2005-11,106.9,
2005-12,107.1,
2006-01,107.7,
2006-02,111.0,
2006-03,109.9,
2006-04,112.3,
2006-05,111.5,
2006-06,110.5,
2006-07,111.5,
2006-08,113.4,
2006-09,113.9,
2006-10,116.6,
2006-11,113.9,
2006-12,115.4,
2007-01,115.1,
2007-02,113.9,
2007-03,120.6,
2007-04,113.6,
2007-05,118.6,
2007-06,116.6,
2007-07,116.5,
2007-08,117.1,
2007-09,118.1,
2007-10,121.0,
2007-11,121.3,
2007-12,122.7,
2008-01,121.0,
2008-02,118.1,
2008-03,117.4,
2008-04,117.6,
2008-05,117.4,
2008-06,111.6,
2008-07,110.9,
2008-08,113.2,
2008-09,107.2,
2008-10,106.1,
2008-11,101.2,
2008-12,97.9,
2009-01,80.2,
2009-02,76.8,
2009-03,78.0,
2009-04,75.5,
2009-05,75.4,
2009-06,78.6,
2009-07,80.4,
2009-08,82.4,
2009-09,88.2,
2009-10,86.3,
2009-11,89.8,
2009-12,89.7,
2010-01,90.3,
2010-02,91.6,
