"",BBFN1.M.DE.N.1.A.F1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.F1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:08,
1995-01,2.889,
1995-02,2.894,
1995-03,2.930,
1995-04,2.967,
1995-05,2.969,
1995-06,2.987,
1995-07,2.975,
1995-08,2.905,
1995-09,2.922,
1995-10,2.820,
1995-11,2.823,
1995-12,2.852,
1996-01,2.764,
1996-02,2.788,
1996-03,2.920,
1996-04,2.849,
1996-05,2.830,
1996-06,2.772,
1996-07,2.814,
1996-08,2.779,
1996-09,2.801,
1996-10,2.756,
1996-11,2.757,
1996-12,2.753,
1997-01,2.600,
1997-02,2.628,
1997-03,2.545,
1997-04,2.612,
1997-05,2.538,
1997-06,2.568,
1997-07,2.624,
1997-08,2.668,
1997-09,2.674,
1997-10,2.711,
1997-11,2.745,
1997-12,2.716,
1998-01,2.737,
1998-02,2.907,
1998-03,2.819,
1998-04,2.845,
1998-05,2.904,
1998-06,2.900,
1998-07,2.847,
1998-08,2.787,
1998-09,2.828,
1998-10,2.788,
1998-11,2.796,
1998-12,2.771,
1999-01,2.668,
1999-02,2.579,
1999-03,2.573,
1999-04,2.385,
1999-05,2.634,
1999-06,2.779,
1999-07,2.839,
1999-08,2.780,
1999-09,2.813,
1999-10,2.869,
1999-11,2.863,
1999-12,2.908,
2000-01,2.898,
2000-02,2.877,
2000-03,2.918,
2000-04,2.919,
2000-05,2.972,
2000-06,3.050,
2000-07,3.186,
2000-08,3.175,
2000-09,3.175,
2000-10,3.186,
2000-11,3.381,
2000-12,3.165,
2001-01,3.015,
2001-02,3.043,
2001-03,3.029,
2001-04,3.053,
2001-05,3.151,
2001-06,3.368,
2001-07,3.277,
2001-08,3.337,
2001-09,3.557,
2001-10,3.487,
2001-11,3.480,
2001-12,3.298,
2002-01,3.123,
2002-02,3.063,
2002-03,2.999,
2002-04,3.129,
2002-05,3.272,
2002-06,3.228,
2002-07,3.232,
2002-08,3.051,
2002-09,3.065,
2002-10,3.090,
2002-11,3.173,
2002-12,3.209,
2003-01,3.062,
2003-02,3.094,
2003-03,2.927,
2003-04,2.920,
2003-05,2.892,
2003-06,2.833,
2003-07,2.740,
2003-08,2.857,
2003-09,2.870,
2003-10,2.816,
2003-11,2.768,
2003-12,2.779,
2004-01,2.625,
2004-02,2.657,
2004-03,2.702,
2004-04,2.724,
2004-05,2.831,
2004-06,2.887,
2004-07,2.955,
2004-08,2.948,
2004-09,2.984,
2004-10,2.971,
2004-11,2.953,
2004-12,2.837,
2005-01,2.841,
2005-02,2.907,
2005-03,2.905,
2005-04,2.974,
2005-05,3.069,
2005-06,3.159,
2005-07,3.125,
2005-08,3.071,
2005-09,3.329,
2005-10,3.361,
2005-11,3.405,
2005-12,3.404,
2006-01,3.425,
2006-02,3.385,
2006-03,3.590,
2006-04,3.686,
2006-05,3.741,
2006-06,3.829,
2006-07,3.863,
2006-08,3.818,
2006-09,3.743,
2006-10,3.764,
2006-11,3.648,
2006-12,3.652,
2007-01,3.519,
2007-02,3.630,
2007-03,3.608,
2007-04,3.680,
2007-05,3.594,
2007-06,3.579,
2007-07,3.712,
2007-08,3.879,
2007-09,3.910,
2007-10,3.893,
2007-11,3.907,
2007-12,3.992,
2008-01,3.855,
2008-02,3.830,
2008-03,3.924,
2008-04,4.049,
2008-05,3.991,
2008-06,4.098,
2008-07,4.130,
2008-08,4.247,
2008-09,4.137,
2008-10,4.233,
2008-11,4.193,
2008-12,4.146,
2009-01,3.757,
2009-02,3.799,
2009-03,3.724,
2009-04,3.655,
2009-05,3.824,
2009-06,3.840,
2009-07,3.829,
2009-08,3.787,
2009-09,3.939,
2009-10,4.026,
2009-11,4.069,
2009-12,4.150,
2010-01,4.144,
2010-02,4.292,
2010-03,4.499,
2010-04,4.503,
2010-05,4.646,
2010-06,4.692,
2010-07,4.759,
2010-08,4.824,
2010-09,4.959,
2010-10,5.068,
2010-11,4.910,
2010-12,4.864,
2011-01,4.816,
2011-02,4.903,
2011-03,4.934,
2011-04,4.876,
2011-05,4.856,
2011-06,4.995,
2011-07,5.195,
2011-08,5.166,
2011-09,5.223,
2011-10,5.252,
2011-11,5.199,
2011-12,5.208,
2012-01,4.982,
2012-02,5.138,
2012-03,5.354,
2012-04,5.388,
2012-05,5.332,
2012-06,5.291,
2012-07,5.438,
2012-08,5.392,
2012-09,5.417,
2012-10,5.460,
2012-11,5.435,
2012-12,5.517,
2013-01,5.517,
2013-02,5.725,
2013-03,5.588,
2013-04,5.535,
2013-05,5.549,
2013-06,5.553,
2013-07,5.364,
2013-08,5.523,
2013-09,5.423,
2013-10,5.251,
2013-11,5.314,
2013-12,5.563,
2014-01,5.288,
2014-02,5.316,
2014-03,4.888,
2014-04,4.928,
2014-05,5.066,
2014-06,5.167,
2014-07,5.115,
2014-08,5.154,
2014-09,5.310,
2014-10,5.402,
2014-11,5.199,
2014-12,5.417,
