"",BBK01.OECB17M,BBK01.OECB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:42,
2002-01,4.813,
2002-04,4.772,
2002-07,4.745,
2002-10,4.724,
2003-01,4.650,
2003-04,4.633,
2003-07,4.636,
2003-10,4.595,
2004-01,4.536,
2004-04,4.511,
2004-07,4.482,
2004-10,4.600,
2005-01,11.614,
2005-04,11.681,
2005-07,11.738,
2005-10,11.849,
2006-01,11.870,
2006-04,13.693,
2006-07,13.606,
2006-10,13.854,
2007-01,16.199,
2007-04,13.526,
2007-07,13.121,
2007-10,12.738,
2008-01,12.520,
2008-04,12.247,
2008-07,11.978,
2008-10,11.413,
2009-01,11.038,
2009-04,11.709,
2009-07,11.345,
2009-10,11.013,
2010-01,10.831,
2010-04,10.685,
2010-07,10.715,
2010-10,10.416,
2011-01,10.325,
2011-04,10.145,
2011-07,9.969,
2011-10,9.817,
2012-01,9.663,
2012-04,9.517,
2012-07,9.513,
2012-10,9.403,
2013-01,9.280,
2013-04,9.194,
2013-07,9.105,
2013-10,9.026,
2014-01,8.946,
2014-04,8.922,
2014-07,8.968,
