"",BBFN1.M.DE.N.1.A.RS.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RS.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:21,
2006-03,0.421,
2006-04,0.424,
2006-05,0.431,
2006-06,0.434,
2006-07,0.400,
2006-08,0.409,
2006-09,0.411,
2006-10,0.444,
2006-11,0.440,
2006-12,0.435,
2007-01,0.413,
2007-02,0.419,
2007-03,0.442,
2007-04,0.450,
2007-05,0.462,
2007-06,0.457,
2007-07,0.457,
2007-08,0.477,
2007-09,0.484,
2007-10,0.480,
2007-11,0.484,
2007-12,0.475,
2008-01,0.466,
2008-02,0.473,
2008-03,0.495,
2008-04,0.523,
2008-05,0.528,
2008-06,0.542,
2008-07,0.535,
2008-08,0.550,
2008-09,0.557,
2008-10,0.568,
2008-11,0.558,
2008-12,0.602,
2009-01,0.633,
2009-02,0.641,
2009-03,0.646,
2009-04,0.660,
2009-05,0.704,
2009-06,0.696,
2009-07,0.673,
2009-08,0.657,
2009-09,0.621,
2009-10,0.670,
2009-11,0.705,
2009-12,0.682,
2010-01,0.668,
2010-02,0.699,
2010-03,0.699,
2010-04,0.683,
2010-05,0.688,
2010-06,0.685,
2010-07,0.731,
2010-08,0.717,
2010-09,0.693,
2010-10,0.728,
2010-11,0.717,
2010-12,0.702,
2011-01,0.726,
2011-02,0.743,
2011-03,0.730,
2011-04,0.694,
2011-05,0.697,
2011-06,0.718,
2011-07,0.726,
2011-08,0.736,
2011-09,0.733,
2011-10,0.731,
2011-11,0.755,
2011-12,0.758,
2012-01,0.761,
2012-02,0.770,
2012-03,0.800,
2012-04,0.797,
2012-05,0.808,
2012-06,0.834,
2012-07,0.824,
2012-08,0.828,
2012-09,0.811,
2012-10,0.807,
2012-11,0.789,
2012-12,0.760,
2013-01,0.742,
2013-02,0.743,
2013-03,0.752,
2013-04,0.749,
2013-05,0.748,
2013-06,0.727,
2013-07,0.722,
2013-08,0.708,
2013-09,0.680,
2013-10,0.682,
2013-11,0.671,
2013-12,0.663,
2014-01,0.644,
2014-02,0.646,
2014-03,0.649,
2014-04,0.654,
2014-05,0.652,
2014-06,0.657,
2014-07,0.641,
2014-08,0.655,
2014-09,0.637,
2014-10,0.635,
2014-11,0.623,
2014-12,0.591,
