"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:54,
1991-01,18.157,
1991-04,49.411,
1991-07,103.187,
1991-10,61.057,
1992-01,148.167,
1992-04,113.760,
1992-07,106.637,
1992-10,103.689,
1993-01,101.273,
1993-04,105.597,
1993-07,127.377,
1993-10,253.663,
1994-01,128.040,
1994-04,64.978,
1994-07,84.253,
1994-10,84.439,
1995-01,151.625,
1995-04,131.683,
1995-07,108.887,
1995-10,732.990,
1996-01,201.211,
1996-04,248.329,
1996-07,-12.312,
1996-10,373.286,
1997-01,100.645,
1997-04,218.168,
1997-07,127.108,
1997-10,358.956,
1998-01,1041.524,
1998-04,241.890,
1998-07,123.124,
1998-10,299.819,
1999-01,203.886,
1999-04,232.024,
1999-07,211.282,
1999-10,219.437,
2000-01,1148.979,
2000-04,126.695,
2000-07,242.646,
2000-10,50.644,
2001-01,239.406,
2001-04,-750.765,
2001-07,47.802,
2001-10,227.821,
2002-01,23.834,
2002-04,135.743,
2002-07,164.229,
2002-10,-781.326,
2003-01,85.666,
2003-04,166.122,
2003-07,-85.016,
2003-10,-481.868,
2004-01,320.570,
2004-04,339.455,
2004-07,181.577,
2004-10,536.258,
2005-01,354.425,
2005-04,292.893,
2005-07,331.679,
2005-10,339.814,
2006-01,1341.700,
2006-04,315.175,
2006-07,-129.575,
2006-10,-67.246,
2007-01,226.105,
2007-04,638.719,
2007-07,496.438,
2007-10,-59.080,
2008-01,702.211,
2008-04,-1226.024,
2008-07,51.710,
2008-10,490.787,
2009-01,-503.381,
2009-04,437.122,
2009-07,182.856,
2009-10,353.478,
2010-01,253.551,
2010-04,30.499,
2010-07,264.424,
2010-10,514.511,
2011-01,-372.911,
2011-04,-0.465,
2011-07,403.922,
2011-10,1410.798,
2012-01,-84.257,
2012-04,139.780,
2012-07,150.218,
2012-10,-858.060,
2013-01,966.496,
2013-04,479.006,
2013-07,1060.505,
2013-10,1300.653,
2014-01,1265.287,Provisional value
2014-04,1034.162,Provisional value
2014-07,843.994,Provisional value
2014-10,1295.119,Provisional value
