"",BBK01.OEAC19O,BBK01.OEAC19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:41,
2002-01,0.869,
2002-04,0.870,
2002-07,0.813,
2002-10,0.748,
2003-01,0.782,
2003-04,0.759,
2003-07,0.704,
2003-10,0.663,
2004-01,0.721,
2004-04,0.737,
2004-07,0.733,
2004-10,0.676,
2005-01,0.743,
2005-04,0.734,
2005-07,0.653,
2005-10,0.588,
2006-01,0.671,
2006-04,0.647,
2006-07,0.616,
2006-10,0.511,
2007-01,0.551,
2007-04,0.537,
2007-07,0.530,
2007-10,0.486,
2008-01,0.554,
2008-04,0.540,
2008-07,0.534,
2008-10,0.499,
2009-01,0.695,
2009-04,0.783,
2009-07,0.747,
2009-10,0.684,
2010-01,0.694,
2010-04,0.690,
2010-07,0.685,
2010-10,0.602,
2011-01,0.654,
2011-04,0.647,
2011-07,0.610,
2011-10,0.537,
2012-01,0.595,
2012-04,0.632,
2012-07,0.608,
2012-10,0.591,
2013-01,0.677,
2013-04,0.689,
2013-07,0.670,
2013-10,0.639,
2014-01,0.678,
2014-04,0.676,
2014-07,0.694,
