"",BBK01.OELI09U,BBK01.OELI09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:21,
2002-01,0.176,
2002-04,0.185,
2002-07,0.201,
2002-10,0.173,
2003-01,0.145,
2003-04,0.137,
2003-07,0.134,
2003-10,0.137,
2004-01,0.145,
2004-04,0.148,
2004-07,0.162,
2004-10,0.189,
2005-01,0.193,
2005-04,0.172,
2005-07,0.163,
2005-10,0.130,
2006-01,0.123,
2006-04,0.134,
2006-07,0.143,
2006-10,0.152,
2007-01,0.156,
2007-04,0.135,
2007-07,0.130,
2007-10,0.116,
2008-01,0.102,
2008-04,0.091,
2008-07,0.076,
2008-10,0.075,
2009-01,0.109,
2009-04,0.147,
2009-07,0.181,
2009-10,0.217,
2010-01,0.229,
2010-04,0.213,
2010-07,0.199,
2010-10,0.169,
2011-01,0.155,
2011-04,0.137,
2011-07,0.125,
2011-10,0.107,
2012-01,0.109,
2012-04,0.102,
2012-07,0.090,
2012-10,0.083,
2013-01,0.079,
2013-04,0.072,
2013-07,0.079,
2013-10,0.082,
2014-01,0.089,
2014-04,0.087,
2014-07,0.078,
