"",BBK01.OEXL02T,BBK01.OEXL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:57,
2002-01,0.343,
2002-04,0.349,
2002-07,0.337,
2002-10,0.347,
2003-01,0.348,
2003-04,0.346,
2003-07,0.352,
2003-10,0.377,
2004-01,0.394,
2004-04,0.395,
2004-07,0.402,
2004-10,0.360,
2005-01,0.369,
2005-04,0.376,
2005-07,0.384,
2005-10,0.414,
2006-01,0.429,
2006-04,0.429,
2006-07,0.414,
2006-10,0.453,
2007-01,0.466,
2007-04,0.483,
2007-07,0.492,
2007-10,0.492,
2008-01,0.480,
2008-04,0.484,
2008-07,0.485,
2008-10,0.494,
2009-01,0.504,
2009-04,0.527,
2009-07,0.524,
2009-10,0.570,
2010-01,0.578,
2010-04,0.596,
2010-07,0.612,
2010-10,0.630,
2011-01,0.620,
2011-04,0.636,
2011-07,0.646,
2011-10,0.684,
2012-01,0.676,
2012-04,0.669,
2012-07,0.591,
2012-10,0.617,
2013-01,0.638,
2013-04,0.670,
2013-07,0.686,
2013-10,0.708,
2014-01,0.720,
2014-04,0.745,
2014-07,0.759,
