"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IT.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Italy / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:48,
2009-09,3456,
2009-10,3607,
2009-11,3666,
2009-12,3810,
2010-01,3870,
2010-02,4165,
2010-03,3919,
2010-04,3566,
2010-05,4207,
2010-06,4089,
2010-07,4463,
2010-08,4466,
2010-09,4601,
2010-10,4638,
2010-11,4082,
2010-12,3868,
2011-01,3849,
2011-02,3810,
2011-03,3898,
2011-04,3683,
2011-05,3485,
2011-06,3387,
2011-07,3134,
2011-08,2993,
2011-09,2787,
2011-10,2825,
2011-11,2360,
2011-12,2621,
2012-01,3147,
2012-02,3341,
2012-03,3207,
2012-04,3253,
2012-05,3133,
2012-06,3083,
2012-07,3171,
2012-08,3553,
2012-09,3920,
2012-10,4133,
2012-11,4394,
2012-12,4427,
2013-01,4724,
2013-02,4504,
2013-03,4425,
2013-04,4541,
2013-05,4371,
2013-06,4201,
2013-07,4511,
2013-08,4532,
2013-09,4693,
2013-10,4773,
2013-11,4986,
2013-12,5138,
2014-01,5462,
2014-02,5707,
2014-03,5822,
2014-04,5891,
2014-05,6058,
2014-06,5965,
2014-07,6033,
2014-08,6145,
2014-09,6286,
2014-10,6821,
2014-11,7325,
