"",BBK01.OEAD34K,BBK01.OEAD34K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:47,
2002-01,0.194,
2002-04,0.194,
2002-07,0.197,
2002-10,0.181,
2003-01,0.180,
2003-04,0.166,
2003-07,0.157,
2003-10,0.141,
2004-01,0.175,
2004-04,0.159,
2004-07,0.144,
2004-10,0.129,
2005-01,0.129,
2005-04,0.117,
2005-07,0.110,
2005-10,0.110,
2006-01,0.108,
2006-04,0.102,
2006-07,0.133,
2006-10,0.121,
2007-01,0.093,
2007-04,0.092,
2007-07,0.089,
2007-10,0.079,
2008-01,0.135,
2008-04,0.128,
2008-07,0.128,
2008-10,0.125,
2009-01,0.128,
2009-04,0.146,
2009-07,0.153,
2009-10,0.154,
2010-01,0.147,
2010-04,0.165,
2010-07,0.158,
2010-10,0.161,
2011-01,0.137,
2011-04,0.133,
2011-07,0.124,
2011-10,0.121,
2012-01,0.110,
2012-04,0.110,
2012-07,0.114,
2012-10,0.050,
2013-01,0.056,
2013-04,0.064,
2013-07,0.059,
2013-10,0.052,
2014-01,0.052,
2014-04,0.047,
2014-07,0.050,
