"",BBK01.OEAH10V,BBK01.OEAH10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:49,
2002-01,3.508,
2002-04,3.645,
2002-07,3.652,
2002-10,3.641,
2003-01,3.631,
2003-04,3.538,
2003-07,3.467,
2003-10,3.468,
2004-01,3.549,
2004-04,3.538,
2004-07,3.488,
2004-10,3.336,
2005-01,3.213,
2005-04,3.055,
2005-07,2.908,
2005-10,2.816,
2006-01,2.715,
2006-04,2.615,
2006-07,2.575,
2006-10,2.438,
2007-01,2.296,
2007-04,2.238,
2007-07,2.269,
2007-10,2.248,
2008-01,2.195,
2008-04,2.153,
2008-07,2.149,
2008-10,2.155,
2009-01,2.010,
2009-04,2.028,
2009-07,2.044,
2009-10,2.165,
2010-01,2.289,
2010-04,2.377,
2010-07,2.404,
2010-10,2.423,
2011-01,2.462,
2011-04,2.644,
2011-07,2.617,
2011-10,2.581,
2012-01,2.550,
2012-04,2.544,
2012-07,2.481,
2012-10,2.312,
2013-01,2.211,
2013-04,2.139,
2013-07,2.109,
2013-10,2.076,
2014-01,2.117,
2014-04,2.084,
2014-07,2.172,
