"",BBK01.OEAO03V,BBK01.OEAO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:11,
2002-01,2.992,
2002-04,2.874,
2002-07,2.105,
2002-10,2.170,
2003-01,2.435,
2003-04,2.257,
2003-07,2.070,
2003-10,2.152,
2004-01,2.340,
2004-04,1.865,
2004-07,1.868,
2004-10,1.998,
2005-01,2.790,
2005-04,2.121,
2005-07,2.051,
2005-10,2.146,
2006-01,2.449,
2006-04,2.275,
2006-07,2.141,
2006-10,2.448,
2007-01,2.875,
2007-04,2.363,
2007-07,2.279,
2007-10,2.348,
2008-01,2.664,
2008-04,2.335,
2008-07,2.314,
2008-10,2.540,
2009-01,2.422,
2009-04,2.215,
2009-07,2.155,
2009-10,2.365,
2010-01,2.247,
2010-04,1.841,
2010-07,1.522,
2010-10,1.668,
2011-01,2.010,
2011-04,1.878,
2011-07,1.661,
2011-10,1.697,
2012-01,1.809,
2012-04,1.577,
2012-07,1.594,
2012-10,1.768,
2013-01,1.989,
2013-04,1.590,
2013-07,1.432,
2013-10,1.469,
2014-01,1.454,
2014-04,1.473,
2014-07,1.387,
