"",BBFB1.Q.N.DE.ES.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:52,
1991-01,2254.663,
1991-04,2199.633,
1991-07,1766.847,
1991-10,2323.495,
1992-01,2245.535,
1992-04,2258.380,
1992-07,1734.726,
1992-10,2369.243,
1993-01,1866.813,
1993-04,1897.529,
1993-07,1577.195,
1993-10,2078.298,
1994-01,2236.476,
1994-04,2321.566,
1994-07,1919.921,
1994-10,2419.291,
1995-01,2877.319,
1995-04,2730.847,
1995-07,2314.819,
1995-10,2701.061,
1996-01,3077.909,
1996-04,2907.463,
1996-07,2444.409,
1996-10,3082.232,
1997-01,3184.775,
1997-04,3514.075,
1997-07,2848.558,
1997-10,3502.865,
1998-01,3640.411,
1998-04,3758.978,
1998-07,3153.509,
1998-10,3287.283,
1999-01,3587.627,
1999-04,4113.788,
1999-07,2937.780,
1999-10,3705.944,
2000-01,3927.672,
2000-04,4092.029,
2000-07,3472.365,
2000-10,4228.455,
2001-01,4058.259,
2001-04,4073.471,
2001-07,3247.655,
2001-10,3552.122,
2002-01,3788.536,
2002-04,3882.146,
2002-07,3505.649,
2002-10,4115.051,
2003-01,4066.515,
2003-04,4268.425,
2003-07,3758.538,
2003-10,4212.571,
2004-01,4219.964,
2004-04,4216.052,
2004-07,4179.834,
2004-10,4479.592,
2005-01,4309.828,
2005-04,4643.465,
2005-07,3944.847,
2005-10,4549.046,
2006-01,4663.408,
2006-04,4790.873,
2006-07,4451.716,
2006-10,5224.875,
2007-01,5109.707,
2007-04,5214.046,
2007-07,4762.254,
2007-10,5003.690,
2008-01,5312.088,
2008-04,5427.762,
2008-07,4840.104,
2008-10,4679.601,
2009-01,4847.547,
2009-04,4807.095,
2009-07,4230.480,
2009-10,4633.848,
2010-01,4910.449,
2010-04,5384.600,
2010-07,4707.318,
2010-10,5327.894,
2011-01,5821.536,
2011-04,5869.450,
2011-07,5073.707,
2011-10,5371.211,
2012-01,6274.626,
2012-04,5985.765,
2012-07,5218.065,
2012-10,5516.967,
2013-01,6001.682,
2013-04,6082.515,
2013-07,5283.799,
2013-10,5960.394,
2014-01,6111.537,Provisional value
2014-04,6458.924,Provisional value
2014-07,5963.023,Provisional value
