"",BBK01.OELB02H,BBK01.OELB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:19,
2002-01,9.841,
2002-04,9.790,
2002-07,9.677,
2002-10,9.342,
2003-01,9.199,
2003-04,9.142,
2003-07,8.882,
2003-10,8.409,
2004-01,8.226,
2004-04,8.167,
2004-07,8.111,
2004-10,7.553,
2005-01,7.706,
2005-04,7.446,
2005-07,7.315,
2005-10,6.989,
2006-01,7.229,
2006-04,7.260,
2006-07,7.138,
2006-10,6.745,
2007-01,6.799,
2007-04,6.798,
2007-07,6.807,
2007-10,6.895,
2008-01,6.960,
2008-04,6.967,
2008-07,7.052,
2008-10,6.939,
2009-01,6.978,
2009-04,7.033,
2009-07,6.897,
2009-10,6.480,
2010-01,6.743,
2010-04,6.841,
2010-07,6.511,
2010-10,6.208,
2011-01,6.444,
2011-04,6.624,
2011-07,6.634,
2011-10,6.438,
2012-01,6.655,
2012-04,6.761,
2012-07,6.786,
2012-10,6.719,
2013-01,6.884,
2013-04,6.930,
2013-07,6.889,
2013-10,6.878,
2014-01,6.922,
2014-04,7.090,
2014-07,7.054,
