"",BBK01.OEAB21I,BBK01.OEAB21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:46,
2002-01,24.540,
2002-04,28.098,
2002-07,25.905,
2002-10,25.140,
2003-01,24.151,
2003-04,14.646,
2003-07,14.323,
2003-10,12.634,
2004-01,13.172,
2004-04,12.216,
2004-07,12.289,
2004-10,12.761,
2005-01,13.249,
2005-04,13.450,
2005-07,14.577,
2005-10,16.701,
2006-01,13.400,
2006-04,14.095,
2006-07,21.647,
2006-10,23.821,
2007-01,21.236,
2007-04,21.941,
2007-07,21.347,
2007-10,21.525,
2008-01,20.138,
2008-04,19.322,
2008-07,18.769,
2008-10,18.468,
2009-01,18.095,
2009-04,19.479,
2009-07,27.863,
2009-10,28.127,
2010-01,28.044,
2010-04,26.832,
2010-07,26.781,
2010-10,25.558,
2011-01,27.755,
2011-04,26.811,
2011-07,24.140,
2011-10,24.307,
2012-01,24.092,
2012-04,22.971,
2012-07,22.762,
2012-10,22.154,
2013-01,21.519,
2013-04,22.001,
2013-07,21.216,
2013-10,20.357,
2014-01,20.382,
2014-04,19.970,
2014-07,19.872,
