"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Denmark / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:38,
2009-09,3497,
2009-10,3804,
2009-11,4192,
2009-12,4302,
2010-01,3990,
2010-02,3960,
2010-03,3956,
2010-04,4160,
2010-05,4247,
2010-06,4446,
2010-07,4450,
2010-08,4685,
2010-09,4757,
2010-10,4849,
2010-11,4709,
2010-12,4809,
2011-01,4471,
2011-02,4339,
2011-03,4418,
2011-04,4454,
2011-05,4685,
2011-06,4884,
2011-07,5062,
2011-08,4426,
2011-09,4907,
2011-10,4892,
2011-11,4763,
2011-12,4853,
2012-01,4795,
2012-02,4875,
2012-03,4883,
2012-04,4864,
2012-05,4990,
2012-06,5009,
2012-07,5177,
2012-08,5236,
2012-09,5349,
2012-10,5316,
2012-11,5361,
2012-12,5465,
2013-01,5192,
2013-02,5526,
2013-03,5653,
2013-04,5734,
2013-05,5870,
2013-06,5619,
2013-07,5648,
2013-08,5696,
2013-09,6064,
2013-10,6076,
2013-11,6030,
2013-12,6060,
2014-01,6001,
2014-02,6043,
2014-03,6308,
2014-04,6351,
2014-05,6532,
2014-06,7315,
2014-07,7293,
2014-08,7355,
2014-09,7500,
2014-10,7737,
2014-11,7783,
