"",BBK01.OEAD02H,BBK01.OEAD02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:42,
2002-01,1.611,
2002-04,1.719,
2002-07,1.556,
2002-10,1.781,
2003-01,1.704,
2003-04,1.580,
2003-07,1.536,
2003-10,1.628,
2004-01,1.437,
2004-04,1.381,
2004-07,1.366,
2004-10,1.397,
2005-01,1.332,
2005-04,1.326,
2005-07,1.316,
2005-10,1.248,
2006-01,1.268,
2006-04,1.969,
2006-07,1.846,
2006-10,1.736,
2007-01,1.654,
2007-04,1.602,
2007-07,1.339,
2007-10,1.188,
2008-01,1.255,
2008-04,1.219,
2008-07,1.292,
2008-10,1.320,
2009-01,1.344,
2009-04,1.334,
2009-07,1.555,
2009-10,1.422,
2010-01,1.323,
2010-04,1.441,
2010-07,1.190,
2010-10,1.131,
2011-01,1.207,
2011-04,1.217,
2011-07,1.203,
2011-10,1.158,
2012-01,1.264,
2012-04,1.205,
2012-07,1.221,
2012-10,1.209,
2013-01,1.197,
2013-04,1.250,
2013-07,1.237,
2013-10,1.243,
2014-01,1.374,
2014-04,1.409,
2014-07,1.192,
