"",BBK01.OEAM07M,BBK01.OEAM07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:51,
2002-01,0.197,
2002-04,0.185,
2002-07,0.188,
2002-10,0.178,
2003-01,0.182,
2003-04,0.176,
2003-07,0.175,
2003-10,0.175,
2004-01,0.172,
2004-04,0.169,
2004-07,0.166,
2004-10,0.170,
2005-01,0.166,
2005-04,0.173,
2005-07,0.164,
2005-10,0.169,
2006-01,0.171,
2006-04,0.166,
2006-07,0.163,
2006-10,0.169,
2007-01,0.155,
2007-04,0.153,
2007-07,0.152,
2007-10,0.146,
2008-01,0.143,
2008-04,0.130,
2008-07,0.122,
2008-10,0.137,
2009-01,0.151,
2009-04,0.163,
2009-07,0.179,
2009-10,0.196,
2010-01,0.224,
2010-04,0.259,
2010-07,0.227,
2010-10,0.227,
2011-01,0.213,
2011-04,0.198,
2011-07,0.198,
2011-10,0.193,
2012-01,0.178,
2012-04,0.184,
2012-07,0.184,
2012-10,0.185,
2013-01,0.200,
2013-04,0.196,
2013-07,0.196,
2013-10,0.198,
2014-01,0.195,
2014-04,0.171,
2014-07,0.174,
