"",BBK01.OXA8U4,BBK01.OXA8U4_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from banks domiciled outside the euro area during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:52,
2009-12,-,Nothing exists
2010-01,-0.106,
2010-02,-,Nothing exists
2010-03,-0.094,
2010-04,-,Nothing exists
2010-05,0.041,
2010-06,-0.042,
2010-07,-0.098,
2010-08,-0.077,
2010-09,-0.133,
2010-10,-0.131,
2010-11,-0.064,
2010-12,-0.069,
2011-01,-0.092,
2011-02,-0.141,
2011-03,-0.116,
2011-04,0.092,
2011-05,0.014,
2011-06,-0.080,
2011-07,0.093,
2011-08,-0.056,
2011-09,-0.029,
2011-10,0.043,
2011-11,-0.068,
2011-12,-0.161,
2012-01,-0.172,
2012-02,0.062,
2012-03,0.152,
2012-04,-0.040,
2012-05,-0.138,
2012-06,-0.099,
2012-07,-0.011,
2012-08,0.227,
2012-09,-0.111,
2012-10,-0.085,
2012-11,-0.082,
2012-12,-0.157,
2013-01,-0.168,
2013-02,-0.106,
2013-03,-0.186,
2013-04,-0.093,
2013-05,-0.175,
2013-06,-0.037,
2013-07,-0.114,
2013-08,-0.086,
2013-09,-0.180,
2013-10,-0.240,
2013-11,-0.125,
2013-12,-0.294,
2014-01,-0.201,
2014-02,-0.107,
2014-03,-0.149,
2014-04,-0.117,
2014-05,-0.200,
2014-06,-0.235,
2014-07,-0.120,
2014-08,-0.169,
2014-09,-0.249,
2014-10,-0.267,
2014-11,-0.114,
2014-12,-0.263,Provisional value
