"",BBK01.OEAA08S,BBK01.OEAA08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:57,
2002-01,1.917,
2002-04,1.928,
2002-07,1.963,
2002-10,1.995,
2003-01,1.996,
2003-04,2.004,
2003-07,2.014,
2003-10,2.013,
2004-01,2.010,
2004-04,2.012,
2004-07,2.026,
2004-10,4.050,
2005-01,4.030,
2005-04,3.998,
2005-07,4.000,
2005-10,3.960,
2006-01,3.940,
2006-04,3.908,
2006-07,3.895,
2006-10,3.927,
2007-01,3.904,
2007-04,3.825,
2007-07,3.796,
2007-10,3.774,
2008-01,3.726,
2008-04,3.687,
2008-07,3.661,
2008-10,3.608,
2009-01,3.578,
2009-04,3.552,
2009-07,3.522,
2009-10,3.506,
2010-01,3.483,
2010-04,3.451,
2010-07,3.397,
2010-10,3.339,
2011-01,3.310,
2011-04,3.289,
2011-07,3.267,
2011-10,3.248,
2012-01,3.227,
2012-04,3.203,
2012-07,3.174,
2012-10,3.157,
2013-01,3.131,
2013-04,3.093,
2013-07,3.065,
2013-10,3.038,
2014-01,3.016,
2014-04,2.978,
2014-07,2.918,
