"",BBDE1.M.DE.W.AEB5.A2P310000.F.V.I10.A,BBDE1.M.DE.W.AEB5.A2P310000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / Intermediate goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:16,
1991-01,49.5,
1991-02,47.5,
1991-03,50.1,
1991-04,47.5,
1991-05,44.1,
1991-06,46.5,
1991-07,43.8,
1991-08,39.3,
1991-09,44.4,
1991-10,47.5,
1991-11,46.0,
1991-12,44.5,
1992-01,48.1,
1992-02,45.4,
1992-03,50.7,
1992-04,44.7,
1992-05,43.5,
1992-06,46.4,
1992-07,41.2,
1992-08,36.6,
1992-09,40.6,
1992-10,40.1,
1992-11,42.4,
1992-12,37.1,
1993-01,42.2,
1993-02,43.1,
1993-03,43.6,
1993-04,41.6,
1993-05,39.8,
1993-06,44.3,
1993-07,41.4,
1993-08,36.3,
1993-09,40.2,
1993-10,41.9,
1993-11,41.9,
1993-12,41.9,
1994-01,47.0,
1994-02,48.2,
1994-03,52.2,
1994-04,46.9,
1994-05,46.6,
1994-06,49.6,
1994-07,45.8,
1994-08,41.2,
1994-09,51.4,
1994-10,51.1,
1994-11,53.5,
1994-12,53.1,
1995-01,55.4,
1995-02,55.4,
1995-03,57.6,
1995-04,52.2,
1995-05,50.6,
1995-06,53.6,
1995-07,50.0,
1995-08,43.1,
1995-09,51.6,
1995-10,49.2,
1995-11,46.9,
1995-12,46.8,
1996-01,53.4,
1996-02,52.0,
1996-03,56.9,
1996-04,50.8,
1996-05,50.4,
1996-06,52.8,
1996-07,49.9,
1996-08,45.9,
1996-09,53.9,
1996-10,54.1,
1996-11,53.8,
1996-12,50.2,
1997-01,58.8,
1997-02,59.4,
1997-03,64.0,
1997-04,59.0,
1997-05,57.2,
1997-06,63.3,
1997-07,59.3,
1997-08,54.6,
1997-09,63.4,
1997-10,63.6,
1997-11,61.9,
1997-12,58.5,
1998-01,65.3,
1998-02,61.5,
1998-03,65.9,
1998-04,60.4,
1998-05,57.6,
1998-06,62.9,
1998-07,56.4,
1998-08,50.1,
1998-09,58.5,
1998-10,53.8,
1998-11,55.2,
1998-12,51.4,
1999-01,58.6,
1999-02,56.1,
1999-03,62.3,
1999-04,55.8,
1999-05,56.8,
1999-06,60.1,
1999-07,60.7,
1999-08,56.1,
1999-09,64.8,
1999-10,65.0,
1999-11,66.6,
1999-12,67.2,
2000-01,67.0,
2000-02,70.3,
2000-03,81.2,
2000-04,71.7,
2000-05,72.3,
2000-06,81.1,
2000-07,74.6,
2000-08,73.8,
2000-09,81.7,
2000-10,78.2,
2000-11,75.9,
2000-12,73.4,
2001-01,76.1,
2001-02,72.5,
2001-03,76.5,
2001-04,69.2,
2001-05,73.8,
2001-06,76.2,
2001-07,68.5,
2001-08,62.2,
2001-09,66.0,
2001-10,67.3,
2001-11,65.6,
2001-12,67.0,
2002-01,70.1,
2002-02,72.6,
2002-03,78.4,
2002-04,73.8,
2002-05,73.1,
2002-06,77.2,
2002-07,70.6,
2002-08,62.9,
2002-09,74.7,
2002-10,70.8,
2002-11,74.4,
2002-12,68.0,
2003-01,77.7,
2003-02,72.9,
2003-03,80.9,
2003-04,72.7,
2003-05,68.6,
2003-06,74.4,
2003-07,72.7,
2003-08,65.0,
2003-09,78.0,
2003-10,75.8,
2003-11,76.2,
2003-12,77.0,
2004-01,81.9,
2004-02,81.1,
2004-03,86.9,
2004-04,82.4,
2004-05,82.4,
2004-06,84.6,
2004-07,81.3,
2004-08,74.0,
2004-09,86.4,
2004-10,82.2,
2004-11,81.7,
2004-12,78.9,
2005-01,87.2,
2005-02,83.7,
2005-03,92.5,
2005-04,84.5,
2005-05,84.3,
2005-06,90.1,
2005-07,91.1,
2005-08,79.3,
2005-09,93.0,
2005-10,91.7,
2005-11,93.4,
2005-12,89.3,
2006-01,96.7,
2006-02,96.6,
2006-03,105.7,
2006-04,98.9,
2006-05,99.3,
2006-06,106.1,
2006-07,102.2,
2006-08,92.8,
2006-09,106.3,
2006-10,107.0,
2006-11,107.9,
2006-12,98.9,
2007-01,110.2,
2007-02,107.9,
2007-03,125.4,
2007-04,108.0,
2007-05,110.0,
2007-06,117.4,
2007-07,108.7,
2007-08,99.1,
2007-09,115.4,
2007-10,112.5,
2007-11,116.4,
2007-12,105.9,
2008-01,117.6,
2008-02,111.2,
2008-03,123.6,
2008-04,112.4,
2008-05,114.7,
2008-06,113.9,
2008-07,111.3,
2008-08,100.4,
2008-09,106.7,
2008-10,101.7,
2008-11,92.3,
2008-12,76.0,
2009-01,74.6,
2009-02,69.6,
2009-03,77.2,
2009-04,73.0,
2009-05,75.5,
2009-06,82.2,
2009-07,80.1,
2009-08,75.9,
2009-09,86.3,
2009-10,83.6,
2009-11,86.5,
2009-12,77.0,
2010-01,93.5,
2010-02,92.6,
2010-03,104.8,
2010-04,99.1,
2010-05,99.3,
2010-06,103.2,
