"",BBK01.SUD023,BBK01.SUD023_FLAGS
"",Outstanding amounts (volumes) of German banks / Non-financial corporations' deposits with an agreed maturity of up to 2 years,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:34,
2003-01,78517,
2003-02,79509,
2003-03,77837,
2003-04,78278,
2003-05,79303,
2003-06,76477,
2003-07,77253,
2003-08,80491,
2003-09,77051,
2003-10,80075,
2003-11,80795,
2003-12,74309,
2004-01,65515,
2004-02,72633,
2004-03,71568,
2004-04,71450,
2004-05,73261,
2004-06,71355,
2004-07,72644,
2004-08,70573,
2004-09,69114,
2004-10,72291,
2004-11,69413,
2004-12,73428,
2005-01,71982,
2005-02,70218,
2005-03,69433,
2005-04,71680,
2005-05,71741,
2005-06,69719,
2005-07,72105,
2005-08,74930,
2005-09,74966,
2005-10,78275,
2005-11,76669,
2005-12,78779,
2006-01,78905,
2006-02,78055,
2006-03,79671,
2006-04,83245,
2006-05,82547,
2006-06,82607,
2006-07,84840,
2006-08,87864,
2006-09,89398,
2006-10,93649,
2006-11,91322,
2006-12,90662,
2007-01,93632,
2007-02,93871,
2007-03,94996,
2007-04,95725,
2007-05,96130,
2007-06,95736,
2007-07,99560,
2007-08,106493,
2007-09,109580,
2007-10,112487,
2007-11,110367,
2007-12,114005,
2008-01,112840,
2008-02,123009,
2008-03,116191,
2008-04,121637,
2008-05,122362,
2008-06,118160,
2008-07,121536,
2008-08,121183,
2008-09,123174,
2008-10,123846,
2008-11,123000,
2008-12,118097,
2009-01,116231,
2009-02,113302,
2009-03,109282,
2009-04,110298,
2009-05,107732,
2009-06,101792,
2009-07,101908,
2009-08,102191,
2009-09,99264,
2009-10,93477,
2009-11,92010,
2009-12,88785,
2010-01,87339,
2010-02,86509,
2010-03,86535,
2010-04,87161,
2010-05,85444,
2010-06,83947,
2010-07,86081,
2010-08,88667,
2010-09,90432,
2010-10,93815,
2010-11,93412,
2010-12,96284,
2011-01,93539,
2011-02,94028,
2011-03,96691,
2011-04,97961,
2011-05,100259,
2011-06,98484,
2011-07,100631,
2011-08,104430,
2011-09,109607,
2011-10,110904,
2011-11,108388,
2011-12,104838,
2012-01,104023,
2012-02,102697,
2012-03,99012,
2012-04,98127,
2012-05,96040,
2012-06,92613,
2012-07,93203,
2012-08,93589,
2012-09,90793,
2012-10,87278,
2012-11,84081,
2012-12,81845,
2013-01,79925,
2013-02,79483,
2013-03,79303,
2013-04,80849,
2013-05,78814,
2013-06,77887,
2013-07,79887,
2013-08,80986,
2013-09,79626,
2013-10,80517,
2013-11,79894,
2013-12,81898,
2014-01,83425,
2014-02,86581,
2014-03,85751,
2014-04,86699,
2014-05,87856,
2014-06,84165,
2014-07,85704,
2014-08,86373,
2014-09,83870,
2014-10,83587,
2014-11,83312,
2014-12,80582,Provisional value
"",General: Data based on mothly balance sheet statistics. p = Provisional,
