"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:43,
2009-09,56178,
2009-10,56514,
2009-11,57430,
2009-12,58490,
2010-01,60175,
2010-02,61001,
2010-03,62530,
2010-04,64035,
2010-05,65201,
2010-06,66077,
2010-07,69141,
2010-08,71737,
2010-09,73079,
2010-10,73778,
2010-11,75272,
2010-12,74588,
2011-01,74076,
2011-02,76145,
2011-03,74711,
2011-04,75052,
2011-05,77227,
2011-06,77309,
2011-07,79628,
2011-08,80155,
2011-09,77442,
2011-10,79258,
2011-11,79429,
2011-12,82443,
2012-01,83205,
2012-02,85685,
2012-03,89343,
2012-04,89939,
2012-05,92291,
2012-06,92939,
2012-07,98277,
2012-08,99817,
2012-09,102551,
2012-10,104581,
2012-11,106750,
2012-12,107374,
2013-01,106066,
2013-02,109897,
2013-03,112348,
2013-04,113814,
2013-05,112651,
2013-06,111054,
2013-07,113651,
2013-08,114205,
2013-09,116186,
2013-10,117639,
2013-11,120100,
2013-12,120427,
2014-01,123803,
2014-02,125661,
2014-03,129427,
2014-04,131586,
2014-05,134470,
2014-06,137500,
2014-07,138753,
2014-08,142790,
2014-09,144807,
2014-10,148106,
2014-11,153170,
