"",BBSF2.M.1.S.I1314.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1314.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Social security funds / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:06,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,-41,
2009-10,-246,
2009-11,3,
2009-12,37,
2010-01,70,
2010-02,-14,
2010-03,8,
2010-04,86,
2010-05,26,
2010-06,20,
2010-07,214,
2010-08,-8,
2010-09,158,
2010-10,57,
2010-11,11,
2010-12,24,
2011-01,51,
2011-02,-79,
2011-03,-145,
2011-04,-92,
2011-05,6,
2011-06,-24,
2011-07,11,
2011-08,35,
2011-09,-28,
2011-10,-2,
2011-11,-57,
2011-12,44,
2012-01,7,
2012-02,20,
2012-03,78,
2012-04,7,
2012-05,22,
2012-06,14,
2012-07,700,
2012-08,5,
2012-09,-5,
2012-10,89,
2012-11,53,
2012-12,-5,
2013-01,51,
2013-02,112,
2013-03,-55,
2013-04,9,
2013-05,-248,
2013-06,-8,
2013-07,-119,
2013-08,44,
2013-09,7,
2013-10,-32,
2013-11,-292,
2013-12,-76,
2014-01,31,
2014-02,23,
2014-03,11,
2014-04,20,
2014-05,45,
2014-06,2,
2014-07,26,
2014-08,40,
2014-09,109,
2014-10,31,
2014-11,63,
