"",BBK01.OECM02U,BBK01.OECM02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:33,
2002-01,0.095,
2002-04,0.105,
2002-07,0.100,
2002-10,0.123,
2003-01,0.113,
2003-04,0.101,
2003-07,0.094,
2003-10,0.137,
2004-01,0.115,
2004-04,0.120,
2004-07,0.115,
2004-10,0.127,
2005-01,0.113,
2005-04,0.108,
2005-07,0.121,
2005-10,0.118,
2006-01,0.098,
2006-04,0.108,
2006-07,0.104,
2006-10,0.096,
2007-01,0.083,
2007-04,0.183,
2007-07,0.097,
2007-10,0.109,
2008-01,0.088,
2008-04,0.107,
2008-07,0.097,
2008-10,0.214,
2009-01,0.103,
2009-04,0.074,
2009-07,0.101,
2009-10,0.075,
2010-01,0.054,
2010-04,0.067,
2010-07,0.070,
2010-10,0.089,
2011-01,0.069,
2011-04,0.074,
2011-07,0.095,
2011-10,0.098,
2012-01,0.077,
2012-04,0.072,
2012-07,0.083,
2012-10,0.068,
2013-01,0.094,
2013-04,0.065,
2013-07,0.051,
2013-10,0.050,
2014-01,0.056,
2014-04,0.060,
2014-07,0.066,
