"",BBK01.OEYB09M,BBK01.OEYB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:18,
2002-01,28.364,
2002-04,28.619,
2002-07,28.969,
2002-10,28.702,
2003-01,28.873,
2003-04,29.791,
2003-07,29.807,
2003-10,29.817,
2004-01,29.996,
2004-04,30.418,
2004-07,30.743,
2004-10,29.467,
2005-01,29.717,
2005-04,29.995,
2005-07,27.761,
2005-10,28.742,
2006-01,28.788,
2006-04,29.024,
2006-07,28.283,
2006-10,30.098,
2007-01,30.023,
2007-04,30.838,
2007-07,32.697,
2007-10,33.109,
2008-01,33.004,
2008-04,32.837,
2008-07,33.973,
2008-10,34.319,
2009-01,35.044,
2009-04,35.090,
2009-07,35.972,
2009-10,35.808,
2010-01,37.520,
2010-04,35.115,
2010-07,34.155,
2010-10,35.676,
2011-01,34.724,
2011-04,36.299,
2011-07,35.876,
2011-10,37.348,
2012-01,35.768,
2012-04,36.081,
2012-07,36.479,
2012-10,36.053,
2013-01,36.106,
2013-04,34.759,
2013-07,34.075,
2013-10,34.359,
2014-01,33.889,
2014-04,33.417,
2014-07,34.080,
