"",BBK01.OEBL05G,BBK01.OEBL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:26,
2002-01,1.681,
2002-04,1.783,
2002-07,1.944,
2002-10,2.117,
2003-01,2.303,
2003-04,2.305,
2003-07,2.278,
2003-10,2.287,
2004-01,2.349,
2004-04,2.378,
2004-07,2.427,
2004-10,2.514,
2005-01,0.684,
2005-04,0.704,
2005-07,0.389,
2005-10,0.426,
2006-01,0.397,
2006-04,0.401,
2006-07,0.397,
2006-10,0.411,
2007-01,0.451,
2007-04,0.428,
2007-07,0.417,
2007-10,0.410,
2008-01,0.384,
2008-04,0.384,
2008-07,0.537,
2008-10,0.672,
2009-01,1.176,
2009-04,1.710,
2009-07,1.901,
2009-10,2.166,
2010-01,2.516,
2010-04,2.564,
2010-07,2.722,
2010-10,2.913,
2011-01,3.008,
2011-04,3.057,
2011-07,3.198,
2011-10,3.425,
2012-01,3.313,
2012-04,3.328,
2012-07,3.420,
2012-10,3.415,
2013-01,3.460,
2013-04,3.333,
2013-07,3.219,
2013-10,3.222,
2014-01,3.222,
2014-04,3.302,
2014-07,3.306,
