"",BBK01.OEXL04L,BBK01.OEXL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:07,
2002-01,1.679,
2002-04,1.586,
2002-07,1.555,
2002-10,1.563,
2003-01,1.453,
2003-04,1.516,
2003-07,1.414,
2003-10,1.343,
2004-01,1.389,
2004-04,1.392,
2004-07,1.404,
2004-10,1.650,
2005-01,1.338,
2005-04,1.290,
2005-07,1.216,
2005-10,1.310,
2006-01,2.322,
2006-04,2.698,
2006-07,6.612,
2006-10,7.622,
2007-01,9.836,
2007-04,11.361,
2007-07,13.546,
2007-10,15.591,
2008-01,17.516,
2008-04,20.438,
2008-07,21.955,
2008-10,21.835,
2009-01,19.487,
2009-04,21.058,
2009-07,18.680,
2009-10,16.108,
2010-01,17.350,
2010-04,16.864,
2010-07,17.275,
2010-10,18.208,
2011-01,17.165,
2011-04,17.829,
2011-07,18.873,
2011-10,19.938,
2012-01,21.965,
2012-04,24.364,
2012-07,25.472,
2012-10,24.756,
2013-01,24.750,
2013-04,23.889,
2013-07,21.474,
2013-10,20.640,
2014-01,21.086,
2014-04,21.843,
2014-07,21.490,
