"",BBK01.OEXJ06L,BBK01.OEXJ06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:55,
2002-01,0.192,
2002-04,0.158,
2002-07,0.154,
2002-10,0.144,
2003-01,0.139,
2003-04,0.123,
2003-07,0.100,
2003-10,0.093,
2004-01,0.096,
2004-04,0.097,
2004-07,0.091,
2004-10,0.088,
2005-01,0.087,
2005-04,0.084,
2005-07,0.082,
2005-10,0.123,
2006-01,0.138,
2006-04,0.153,
2006-07,0.156,
2006-10,0.161,
2007-01,0.170,
2007-04,0.124,
2007-07,0.115,
2007-10,0.113,
2008-01,0.101,
2008-04,0.091,
2008-07,0.085,
2008-10,0.073,
2009-01,0.085,
2009-04,0.119,
2009-07,0.117,
2009-10,0.113,
2010-01,0.100,
2010-04,0.097,
2010-07,0.099,
2010-10,0.100,
2011-01,0.100,
2011-04,0.100,
2011-07,0.083,
2011-10,0.079,
2012-01,0.043,
2012-04,0.040,
2012-07,0.045,
2012-10,0.046,
2013-01,0.051,
2013-04,0.091,
2013-07,0.100,
2013-10,0.108,
2014-01,0.118,
2014-04,0.181,
2014-07,0.192,
