"",BBFN1.M.DE.N.1.L.IR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Iran,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:23,
1994-07,0.190,
1994-08,0.238,
1994-09,0.284,
1994-10,0.264,
1994-11,0.254,
1994-12,0.207,
1995-01,0.201,
1995-02,0.193,
1995-03,0.193,
1995-04,0.186,
1995-05,0.181,
1995-06,0.195,
1995-07,0.179,
1995-08,0.177,
1995-09,0.178,
1995-10,0.177,
1995-11,0.179,
1995-12,0.171,
1996-01,0.161,
1996-02,0.170,
1996-03,0.165,
1996-04,0.172,
1996-05,0.169,
1996-06,0.175,
1996-07,0.165,
1996-08,0.162,
1996-09,0.160,
1996-10,0.156,
1996-11,0.156,
1996-12,0.156,
1997-01,0.152,
1997-02,0.153,
1997-03,0.155,
1997-04,0.152,
1997-05,0.145,
1997-06,0.152,
1997-07,0.164,
1997-08,0.174,
1997-09,0.172,
1997-10,0.155,
1997-11,0.149,
1997-12,0.152,
1998-01,0.143,
1998-02,0.132,
1998-03,0.140,
1998-04,0.137,
1998-05,0.140,
1998-06,0.149,
1998-07,0.157,
1998-08,0.150,
1998-09,0.141,
1998-10,0.121,
1998-11,0.126,
1998-12,0.115,
1999-01,0.105,
1999-02,0.101,
1999-03,0.098,
1999-04,0.087,
1999-05,0.082,
1999-06,0.095,
1999-07,0.089,
1999-08,0.093,
1999-09,0.106,
1999-10,0.106,
1999-11,0.106,
1999-12,0.100,
2000-01,0.106,
2000-02,0.107,
2000-03,0.107,
2000-04,0.106,
2000-05,0.119,
2000-06,0.129,
2000-07,0.152,
2000-08,0.150,
2000-09,0.137,
2000-10,0.131,
2000-11,0.133,
2000-12,0.132,
2001-01,0.134,
2001-02,0.120,
2001-03,0.112,
2001-04,0.131,
2001-05,0.116,
2001-06,0.114,
2001-07,0.096,
2001-08,0.112,
2001-09,0.100,
2001-10,0.107,
2001-11,0.104,
2001-12,0.109,
2002-01,0.105,
2002-02,0.104,
2002-03,0.097,
2002-04,0.095,
2002-05,0.090,
2002-06,0.082,
2002-07,0.080,
2002-08,0.086,
2002-09,0.091,
2002-10,0.092,
2002-11,0.088,
2002-12,0.088,
2003-01,0.098,
2003-02,0.100,
2003-03,0.097,
2003-04,0.122,
2003-05,0.119,
2003-06,0.119,
2003-07,0.120,
2003-08,0.119,
2003-09,0.122,
2003-10,0.119,
2003-11,0.122,
2003-12,0.131,
2004-01,0.129,
2004-02,0.125,
2004-03,0.135,
2004-04,0.130,
2004-05,0.151,
2004-06,0.160,
2004-07,0.156,
2004-08,0.167,
2004-09,0.175,
2004-10,0.176,
2004-11,0.177,
2004-12,0.179,
2005-01,0.188,
2005-02,0.191,
2005-03,0.185,
2005-04,0.265,
2005-05,0.236,
2005-06,0.237,
2005-07,0.236,
2005-08,0.207,
2005-09,0.218,
2005-10,0.239,
2005-11,0.203,
2005-12,0.198,
2006-01,0.191,
2006-02,0.192,
2006-03,0.204,
2006-04,0.201,
2006-05,0.194,
2006-06,0.206,
2006-07,0.213,
2006-08,0.213,
2006-09,0.194,
2006-10,0.199,
2006-11,0.184,
2006-12,0.188,
2007-01,0.187,
2007-02,0.201,
2007-03,0.205,
2007-04,0.187,
2007-05,0.200,
2007-06,0.189,
2007-07,0.200,
2007-08,0.214,
2007-09,0.229,
2007-10,0.211,
2007-11,0.221,
2007-12,0.242,
2008-01,0.234,
2008-02,0.259,
2008-03,0.245,
2008-04,0.262,
2008-05,0.257,
2008-06,0.285,
2008-07,0.321,
2008-08,0.388,
2008-09,0.286,
2008-10,0.280,
2008-11,0.283,
2008-12,0.253,
2009-01,0.243,
2009-02,0.229,
2009-03,0.262,
2009-04,0.253,
2009-05,0.269,
2009-06,0.250,
2009-07,0.279,
2009-08,0.264,
2009-09,0.239,
2009-10,0.254,
2009-11,0.232,
2009-12,0.214,
2010-01,0.209,
2010-02,0.199,
2010-03,0.193,
2010-04,0.209,
2010-05,0.212,
2010-06,0.208,
2010-07,0.222,
2010-08,0.256,
2010-09,0.238,
2010-10,0.239,
2010-11,0.197,
2010-12,0.198,
2011-01,0.183,
2011-02,0.181,
2011-03,0.171,
2011-04,0.182,
2011-05,0.222,
2011-06,0.167,
2011-07,0.164,
2011-08,0.160,
2011-09,0.161,
2011-10,0.166,
2011-11,0.166,
2011-12,0.171,
2012-01,0.183,
2012-02,0.179,
2012-03,0.178,
2012-04,0.199,
2012-05,0.199,
2012-06,0.216,
2012-07,0.234,
2012-08,0.239,
2012-09,0.243,
2012-10,0.237,
2012-11,0.247,
2012-12,0.188,
2013-01,0.190,
2013-02,0.210,
2013-03,0.213,
2013-04,0.210,
2013-05,0.214,
2013-06,0.307,
2013-07,0.248,
2013-08,0.263,
2013-09,0.279,
2013-10,0.269,
2013-11,0.312,
2013-12,0.309,
2014-01,0.214,
2014-02,0.212,
2014-03,0.207,
2014-04,0.220,
2014-05,0.260,
2014-06,0.275,
2014-07,0.210,
2014-08,0.206,
2014-09,0.214,
2014-10,0.213,
2014-11,0.213,
2014-12,0.223,
