"",BBEX3.A.SAR.USD.CA.AB.A04,BBEX3.A.SAR.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Saudi Arabia / USD 1 = SAR ... (selling),
unit,SAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:10,
1999,3.7540,
2000,3.7540,
2001,3.7540,
2002,3.7540,
2003,3.7540,
2004,3.7540,
2005,3.7540,
2006,3.7540,
2007,3.7540,
2008,3.7540,
2009,3.7540,
2010,3.7540,
2011,3.7540,
2012,3.7540,
2013,3.7540,
2014,3.7540,
"",General: The Saudi riyal is pegged to the US dollar.,
"","Source: The Saudi British Bank, Riyadh",
"",Methodology: Calculated on the basis of month-end rates.,
