"",BBEX3.D.PHP.EUR.BB.AC.000,BBEX3.D.PHP.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = PHP ... / Philippines,
unit,PHP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:21,
1999-01-01,.,No value available
1999-01-02,.,No value available
1999-01-03,.,No value available
1999-01-04,45.510,
1999-01-05,44.745,
1999-01-06,44.872,
1999-01-07,44.436,
1999-01-08,44.295,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,43.565,
1999-01-12,43.656,
1999-01-13,45.573,
1999-01-14,44.870,
1999-01-15,44.987,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,44.403,
1999-01-19,44.521,
1999-01-20,44.346,
1999-01-21,44.140,
1999-01-22,44.687,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,44.883,
1999-01-26,44.500,
1999-01-27,44.566,
1999-01-28,44.098,
1999-01-29,43.819,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,43.699,
1999-02-02,43.704,
1999-02-03,43.610,
1999-02-04,43.481,
1999-02-05,43.589,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,44.308,
1999-02-09,44.824,
1999-02-10,44.293,
1999-02-11,43.601,
1999-02-12,43.303,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,43.429,
1999-02-16,43.026,
1999-02-17,43.578,
1999-02-18,43.466,
1999-02-19,43.451,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,43.126,
1999-02-23,42.692,
1999-02-24,43.090,
1999-02-25,43.018,
1999-02-26,42.923,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,42.805,
1999-03-02,42.461,
1999-03-03,42.543,
1999-03-04,42.589,
1999-03-05,42.361,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,42.368,
1999-03-09,42.438,
1999-03-10,42.707,
1999-03-11,42.487,
1999-03-12,42.631,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,42.543,
1999-03-16,42.317,
1999-03-17,42.654,
1999-03-18,42.829,
1999-03-19,42.358,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,42.079,
1999-03-23,42.217,
1999-03-24,42.290,
1999-03-25,42.158,
1999-03-26,41.875,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,41.483,
1999-03-30,41.584,
1999-03-31,41.647,
1999-04-01,41.839,
1999-04-02,41.748,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,41.451,
1999-04-06,41.280,
1999-04-07,41.621,
1999-04-08,41.686,
1999-04-09,41.513,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,41.789,
1999-04-13,41.278,
1999-04-14,41.247,
1999-04-15,41.145,
1999-04-16,40.721,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,40.360,
1999-04-20,40.360,
1999-04-21,40.333,
1999-04-22,40.378,
1999-04-23,40.457,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,40.269,
1999-04-27,40.391,
1999-04-28,40.520,
1999-04-29,40.347,
1999-04-30,40.266,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,40.106,
1999-05-04,39.878,
1999-05-05,40.316,
1999-05-06,40.952,
1999-05-07,40.852,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,40.419,
1999-05-11,40.373,
1999-05-12,40.018,
1999-05-13,40.037,
1999-05-14,40.351,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,40.611,
1999-05-18,40.329,
1999-05-19,40.150,
1999-05-20,40.375,
1999-05-21,39.969,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,40.077,
1999-05-25,40.188,
1999-05-26,40.107,
1999-05-27,39.928,
1999-05-28,39.823,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,39.703,
1999-06-01,39.638,
1999-06-02,39.442,
1999-06-03,39.528,
1999-06-04,39.253,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,39.189,
1999-06-08,39.259,
1999-06-09,39.558,
1999-06-10,39.623,
1999-06-11,39.700,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,39.506,
1999-06-15,39.416,
1999-06-16,39.089,
1999-06-17,39.011,
1999-06-18,39.248,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,39.200,
1999-06-22,38.916,
1999-06-23,38.944,
1999-06-24,39.124,
1999-06-25,39.527,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,39.377,
1999-06-29,39.351,
1999-06-30,39.239,
1999-07-01,38.946,
1999-07-02,39.012,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,39.038,
1999-07-06,38.957,
1999-07-07,39.153,
1999-07-08,39.197,
1999-07-09,39.272,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,38.784,
1999-07-13,39.028,
1999-07-14,39.028,
1999-07-15,38.915,
1999-07-16,39.132,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,38.856,
1999-07-20,39.941,
1999-07-21,40.233,
1999-07-22,40.425,
1999-07-23,40.284,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,41.107,
1999-07-27,40.728,
1999-07-28,40.621,
1999-07-29,40.844,
1999-07-30,41.148,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,41.207,
1999-08-03,41.155,
1999-08-04,41.859,
1999-08-05,41.868,
1999-08-06,41.946,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,41.935,
1999-08-10,41.735,
1999-08-11,41.874,
1999-08-12,41.787,
1999-08-13,41.943,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,41.626,
1999-08-17,41.708,
1999-08-18,41.718,
1999-08-19,41.597,
1999-08-20,41.597,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,41.945,
1999-08-24,41.789,
1999-08-25,41.522,
1999-08-26,41.555,
1999-08-27,41.543,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,41.551,
1999-08-31,41.950,
1999-09-01,42.128,
1999-09-02,42.442,
1999-09-03,42.464,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,42.086,
1999-09-07,42.057,
1999-09-08,42.607,
1999-09-09,42.603,
1999-09-10,42.030,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,41.271,
1999-09-14,41.446,
1999-09-15,41.393,
1999-09-16,41.905,
1999-09-17,41.748,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,41.868,
1999-09-21,41.737,
1999-09-22,42.362,
1999-09-23,42.673,
1999-09-24,42.827,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,42.445,
1999-09-28,42.993,
1999-09-29,43.199,
1999-09-30,43.681,
1999-10-01,43.876,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,43.876,
1999-10-05,42.908,
1999-10-06,43.062,
1999-10-07,43.350,
1999-10-08,43.238,
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,42.657,
1999-10-12,42.697,
1999-10-13,43.601,
1999-10-14,43.361,
1999-10-15,43.831,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,44.028,
1999-10-19,43.769,
1999-10-20,43.595,
1999-10-21,43.550,
1999-10-22,43.188,
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,42.859,
1999-10-26,42.602,
1999-10-27,42.360,
1999-10-28,42.308,
1999-10-29,41.989,
1999-10-30,.,No value available
1999-10-31,.,No value available
1999-11-01,42.372,
1999-11-02,42.074,
1999-11-03,42.069,
1999-11-04,42.151,
1999-11-05,41.728,
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,41.734,
1999-11-09,41.949,
1999-11-10,41.890,
1999-11-11,42.002,
1999-11-12,41.494,
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,41.361,
1999-11-16,41.617,
1999-11-17,42.021,
1999-11-18,41.869,
1999-11-19,41.732,
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,41.997,
1999-11-23,41.921,
1999-11-24,41.684,
1999-11-25,41.520,
1999-11-26,41.340,
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,41.378,
1999-11-30,41.376,
1999-12-01,41.336,
1999-12-02,41.136,
1999-12-03,40.933,
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,41.545,
1999-12-07,41.731,
1999-12-08,41.724,
1999-12-09,41.419,
1999-12-10,41.366,
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,41.256,
1999-12-14,40.895,
1999-12-15,40.786,
1999-12-16,41.201,
1999-12-17,41.410,
1999-12-18,.,No value available
