"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:03,
1991-01,122.582,
1991-04,-466.182,
1991-07,135.569,
1991-10,17.435,
1992-01,24.780,
1992-04,176.373,
1992-07,-14.007,
1992-10,226.566,
1993-01,-114.248,
1993-04,511.422,
1993-07,786.608,
1993-10,225.541,
1994-01,-9.614,
1994-04,-389.568,
1994-07,550.898,
1994-10,695.516,
1995-01,-369.918,
1995-04,-251.843,
1995-07,9.290,
1995-10,1037.435,
1996-01,-869.970,
1996-04,-42.867,
1996-07,438.304,
1996-10,2955.854,
1997-01,2303.909,
1997-04,468.453,
1997-07,609.698,
1997-10,1165.792,
1998-01,-97.431,
1998-04,2518.520,
1998-07,-6886.163,
1998-10,8261.447,
1999-01,-1486.151,
1999-04,3315.349,
1999-07,-2256.372,
1999-10,3671.568,
2000-01,2455.517,
2000-04,-395.748,
2000-07,5439.486,
2000-10,2527.055,
2001-01,-5927.821,
2001-04,-2205.202,
2001-07,5617.568,
2001-10,-1347.378,
2002-01,139.646,
2002-04,-5336.568,
2002-07,1484.541,
2002-10,292.263,
2003-01,-3237.240,
2003-04,-1180.144,
2003-07,399.318,
2003-10,381.961,
2004-01,2876.252,
2004-04,1767.579,
2004-07,-2645.057,
2004-10,2731.940,
2005-01,5157.955,
2005-04,586.808,
2005-07,2981.780,
2005-10,94.580,
2006-01,1077.195,
2006-04,-2066.905,
2006-07,-68.033,
2006-10,830.390,
2007-01,2107.263,
2007-04,390.891,
2007-07,3156.194,
2007-10,249.324,
2008-01,-86.892,
2008-04,8755.736,
2008-07,-1760.313,
2008-10,-6701.513,
2009-01,-3048.487,
2009-04,10239.522,
2009-07,10057.707,
2009-10,4659.027,
2010-01,-3643.007,
2010-04,608.447,
2010-07,3103.687,
2010-10,-7727.491,
2011-01,-482.604,
2011-04,-4106.836,
2011-07,4357.808,
2011-10,2421.793,
2012-01,5632.464,
2012-04,4790.256,
2012-07,6308.156,
2012-10,4490.852,
2013-01,2584.195,
2013-04,3901.354,
2013-07,2534.429,
2013-10,5357.774,
2014-01,2829.200,Provisional value
2014-04,5351.072,Provisional value
2014-07,3474.987,Provisional value
2014-10,4041.566,Provisional value
