"",BBK01.OEAD04Q,BBK01.OEAD04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:13,
2002-01,0.293,
2002-04,0.288,
2002-07,0.275,
2002-10,0.276,
2003-01,0.273,
2003-04,0.275,
2003-07,0.276,
2003-10,0.234,
2004-01,0.214,
2004-04,0.197,
2004-07,0.191,
2004-10,0.179,
2005-01,0.183,
2005-04,0.171,
2005-07,0.162,
2005-10,0.149,
2006-01,0.164,
2006-04,0.157,
2006-07,0.161,
2006-10,0.152,
2007-01,0.190,
2007-04,0.229,
2007-07,0.349,
2007-10,0.282,
2008-01,0.184,
2008-04,0.187,
2008-07,0.182,
2008-10,0.183,
2009-01,0.196,
2009-04,0.198,
2009-07,0.121,
2009-10,0.115,
2010-01,0.117,
2010-04,0.110,
2010-07,0.094,
2010-10,0.084,
2011-01,0.086,
2011-04,0.098,
2011-07,0.086,
2011-10,0.086,
2012-01,0.099,
2012-04,0.103,
2012-07,0.096,
2012-10,0.170,
2013-01,0.181,
2013-04,0.177,
2013-07,0.169,
2013-10,0.164,
2014-01,0.138,
2014-04,0.133,
2014-07,0.122,
