"",BBK01.OEAC53J,BBK01.OEAC53J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:19,
2002-01,0.203,
2002-04,0.197,
2002-07,0.206,
2002-10,0.201,
2003-01,0.196,
2003-04,0.197,
2003-07,0.213,
2003-10,0.211,
2004-01,0.197,
2004-04,0.197,
2004-07,0.200,
2004-10,0.191,
2005-01,0.193,
2005-04,0.209,
2005-07,0.187,
2005-10,0.187,
2006-01,0.178,
2006-04,0.122,
2006-07,0.121,
2006-10,0.114,
2007-01,0.112,
2007-04,0.100,
2007-07,0.100,
2007-10,0.100,
2008-01,0.098,
2008-04,0.173,
2008-07,0.219,
2008-10,0.400,
2009-01,0.396,
2009-04,0.402,
2009-07,0.405,
2009-10,0.397,
2010-01,0.334,
2010-04,0.398,
2010-07,0.389,
2010-10,0.381,
2011-01,0.379,
2011-04,0.352,
2011-07,0.362,
2011-10,0.369,
2012-01,0.364,
2012-04,0.356,
2012-07,0.355,
2012-10,0.351,
2013-01,0.342,
2013-04,0.340,
2013-07,0.329,
2013-10,0.329,
2014-01,0.333,
2014-04,0.353,
2014-07,0.360,
