"",BBK01.OEYB20H,BBK01.OEYB20H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:36,
2002-01,26.928,
2002-04,25.509,
2002-07,25.618,
2002-10,25.778,
2003-01,25.981,
2003-04,25.882,
2003-07,25.943,
2003-10,26.070,
2004-01,25.773,
2004-04,25.566,
2004-07,25.296,
2004-10,24.926,
2005-01,24.670,
2005-04,24.429,
2005-07,24.081,
2005-10,23.808,
2006-01,24.659,
2006-04,24.270,
2006-07,24.328,
2006-10,23.938,
2007-01,23.961,
2007-04,23.728,
2007-07,23.892,
2007-10,20.817,
2008-01,20.875,
2008-04,20.868,
2008-07,20.753,
2008-10,20.368,
2009-01,20.299,
2009-04,19.969,
2009-07,20.042,
2009-10,20.088,
2010-01,19.103,
2010-04,19.234,
2010-07,19.265,
2010-10,19.252,
2011-01,19.295,
2011-04,19.042,
2011-07,19.141,
2011-10,19.192,
2012-01,19.302,
2012-04,19.334,
2012-07,19.397,
2012-10,18.647,
2013-01,18.846,
2013-04,19.005,
2013-07,19.001,
2013-10,19.193,
2014-01,19.253,
2014-04,19.478,
2014-07,19.705,
