"",BBK01.OEAG02L,BBK01.OEAG02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:21,
2002-01,33.035,
2002-04,29.018,
2002-07,27.650,
2002-10,24.316,
2003-01,24.041,
2003-04,21.897,
2003-07,21.598,
2003-10,22.058,
2004-01,23.797,
2004-04,21.508,
2004-07,20.750,
2004-10,18.628,
2005-01,19.464,
2005-04,16.391,
2005-07,13.546,
2005-10,12.531,
2006-01,11.724,
2006-04,10.043,
2006-07,10.026,
2006-10,9.453,
2007-01,6.481,
2007-04,6.414,
2007-07,5.428,
2007-10,3.201,
2008-01,2.098,
2008-04,2.478,
2008-07,1.734,
2008-10,3.995,
2009-01,4.841,
2009-04,4.304,
2009-07,4.376,
2009-10,2.040,
2010-01,2.924,
2010-04,2.993,
2010-07,3.396,
2010-10,9.694,
2011-01,10.926,
2011-04,7.374,
2011-07,7.571,
2011-10,7.095,
2012-01,7.161,
2012-04,6.879,
2012-07,5.617,
2012-10,6.936,
2013-01,6.484,
2013-04,6.127,
2013-07,5.887,
2013-10,7.650,
2014-01,7.475,
2014-04,7.916,
2014-07,6.780,
