"",BBK01.OEYB21L,BBK01.OEYB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:13,
2002-01,130.035,
2002-04,126.400,
2002-07,124.304,
2002-10,122.843,
2003-01,120.678,
2003-04,115.472,
2003-07,114.007,
2003-10,110.568,
2004-01,108.587,
2004-04,104.778,
2004-07,102.987,
2004-10,101.579,
2005-01,97.502,
2005-04,92.236,
2005-07,88.368,
2005-10,77.766,
2006-01,70.953,
2006-04,69.460,
2006-07,68.727,
2006-10,66.701,
2007-01,61.640,
2007-04,57.653,
2007-07,55.590,
2007-10,53.651,
2008-01,48.083,
2008-04,47.111,
2008-07,59.679,
2008-10,58.332,
2009-01,53.452,
2009-04,51.332,
2009-07,36.235,
2009-10,33.837,
2010-01,31.141,
2010-04,30.621,
2010-07,29.892,
2010-10,29.446,
2011-01,28.272,
2011-04,26.979,
2011-07,25.826,
2011-10,24.535,
2012-01,24.258,
2012-04,24.489,
2012-07,23.466,
2012-10,24.147,
2013-01,24.693,
2013-04,25.025,
2013-07,27.647,
2013-10,27.881,
2014-01,26.588,
2014-04,26.352,
2014-07,23.609,
