"",BBK01.OXG8Z3,BBK01.OXG8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:43,
2010-12,146.007,
2011-01,135.443,
2011-02,130.464,
2011-03,129.871,
2011-04,126.328,
2011-05,131.223,
2011-06,127.001,
2011-07,136.330,
2011-08,156.753,
2011-09,176.943,
2011-10,180.493,
2011-11,174.077,
2011-12,184.082,
2012-01,195.779,
2012-02,195.641,
2012-03,189.546,
2012-04,191.491,
2012-05,218.820,
2012-06,211.221,
2012-07,207.297,
2012-08,211.431,
2012-09,201.313,
2012-10,192.581,
2012-11,172.118,
2012-12,158.904,
2013-01,145.017,
2013-02,140.274,
2013-03,136.004,
2013-04,135.188,
2013-05,126.366,
2013-06,111.865,
2013-07,104.781,
2013-08,98.392,
2013-09,96.969,
2013-10,96.622,
2013-11,94.600,
2013-12,83.050,
2014-01,83.619,
2014-02,84.825,
2014-03,82.496,
2014-04,83.024,
2014-05,86.306,
2014-06,87.589,
2014-07,87.805,
2014-08,96.466,
2014-09,99.603,
2014-10,98.834,
2014-11,101.974,
2014-12,100.407,Provisional value
