"",BBK01.OEHB11P,BBK01.OEHB11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:36,
2002-01,0.130,
2002-04,0.127,
2002-07,0.131,
2002-10,0.125,
2003-01,0.124,
2003-04,0.132,
2003-07,0.136,
2003-10,0.128,
2004-01,0.130,
2004-04,0.128,
2004-07,0.136,
2004-10,0.142,
2005-01,0.145,
2005-04,0.140,
2005-07,0.141,
2005-10,0.139,
2006-01,0.144,
2006-04,0.148,
2006-07,0.138,
2006-10,0.145,
2007-01,0.138,
2007-04,0.138,
2007-07,0.148,
2007-10,0.165,
2008-01,0.176,
2008-04,0.187,
2008-07,0.195,
2008-10,0.190,
2009-01,0.199,
2009-04,0.216,
2009-07,0.218,
2009-10,0.220,
2010-01,0.212,
2010-04,0.241,
2010-07,0.266,
2010-10,0.274,
2011-01,0.290,
2011-04,0.296,
2011-07,0.301,
2011-10,0.289,
2012-01,0.310,
2012-04,0.337,
2012-07,0.341,
2012-10,0.352,
2013-01,0.372,
2013-04,0.369,
2013-07,0.382,
2013-10,0.407,
2014-01,0.397,
2014-04,0.382,
2014-07,0.400,
