"",BBK01.OEAC20P,BBK01.OEAC20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:49,
2002-01,0.563,
2002-04,0.566,
2002-07,0.580,
2002-10,0.547,
2003-01,0.553,
2003-04,0.522,
2003-07,0.500,
2003-10,0.447,
2004-01,0.474,
2004-04,0.431,
2004-07,0.461,
2004-10,0.411,
2005-01,0.408,
2005-04,0.393,
2005-07,0.405,
2005-10,0.403,
2006-01,0.389,
2006-04,0.434,
2006-07,0.449,
2006-10,0.423,
2007-01,0.427,
2007-04,0.445,
2007-07,0.458,
2007-10,0.438,
2008-01,0.414,
2008-04,0.459,
2008-07,0.455,
2008-10,0.441,
2009-01,0.390,
2009-04,0.344,
2009-07,0.324,
2009-10,0.326,
2010-01,0.326,
2010-04,0.283,
2010-07,0.279,
2010-10,0.285,
2011-01,0.296,
2011-04,0.299,
2011-07,0.316,
2011-10,0.306,
2012-01,0.335,
2012-04,0.335,
2012-07,0.352,
2012-10,0.313,
2013-01,0.347,
2013-04,0.327,
2013-07,0.323,
2013-10,0.319,
2014-01,0.300,
2014-04,0.287,
2014-07,0.314,
