"",BBDA1.M.DE.N.EX.S.GP09I029.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09I029.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / 29 Motor vehicles, trailers and semi-trailers / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:49,
2008-01,14670852,
2008-02,15901217,
2008-03,15388711,
2008-04,16862207,
2008-05,14039314,
2008-06,15644089,
2008-07,14531743,
2008-08,10711873,
2008-09,15203410,
2008-10,14823727,
2008-11,12483799,
2008-12,9241072,
2009-01,8274146,
2009-02,8682117,
2009-03,10220569,
2009-04,8923435,
2009-05,9191145,
2009-06,10675118,
2009-07,10855625,
2009-08,8376406,
2009-09,12383851,
2009-10,11901976,
2009-11,13176405,
2009-12,10264160,
2010-01,10221888,
2010-02,12077785,
2010-03,14993728,
2010-04,12828958,
2010-05,13313323,
2010-06,14888309,
2010-07,13433749,
2010-08,10618103,
2010-09,15465642,
2010-10,15101289,
2010-11,15149552,
2010-12,12882425,
2011-01,13230936,
2011-02,15331143,
2011-03,17659717,
2011-04,14672341,
2011-05,16951034,
2011-06,14731492,
2011-07,15077401,
2011-08,13718021,
2011-09,17047756,
2011-10,16147977,
2011-11,16834393,
2011-12,14107992,
2012-01,14662488,
2012-02,16894301,
2012-03,18038432,
2012-04,15541993,
2012-05,16123620,
2012-06,16318804,
2012-07,17142572,
2012-08,14364046,
2012-09,15960950,
2012-10,17401729,
2012-11,16426077,
2012-12,12216686,
2013-01,14475976,
2013-02,15730086,
2013-03,16353855,
2013-04,17135687,
2013-05,14960548,
2013-06,15865944,
2013-07,16389080,
2013-08,13978594,
2013-09,17432570,
2013-10,17720372,
2013-11,17083517,
2013-12,13117286,
2014-01,15822712,
2014-02,17229297,
2014-03,17474171,
2014-04,17522496,
2014-05,16824580,
2014-06,16709111,
2014-07,18994536,
2014-08,12304928,
2014-09,18922768,
2014-10,19434606,
2014-11,18019550,
2014-12,15155387,
