"",BBK01.OEBB05M,BBK01.OEBB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:26,
2002-01,42.306,
2002-04,42.206,
2002-07,41.390,
2002-10,41.873,
2003-01,42.066,
2003-04,41.988,
2003-07,41.800,
2003-10,41.260,
2004-01,41.103,
2004-04,41.610,
2004-07,41.836,
2004-10,40.503,
2005-01,48.421,
2005-04,48.605,
2005-07,48.036,
2005-10,48.057,
2006-01,48.591,
2006-04,50.659,
2006-07,51.194,
2006-10,50.436,
2007-01,53.099,
2007-04,50.139,
2007-07,49.902,
2007-10,51.234,
2008-01,50.369,
2008-04,50.403,
2008-07,48.562,
2008-10,49.586,
2009-01,50.196,
2009-04,52.487,
2009-07,50.977,
2009-10,50.625,
2010-01,50.832,
2010-04,50.060,
2010-07,51.067,
2010-10,51.593,
2011-01,51.877,
2011-04,51.677,
2011-07,51.426,
2011-10,51.569,
2012-01,52.036,
2012-04,52.970,
2012-07,53.486,
2012-10,53.570,
2013-01,53.566,
2013-04,54.642,
2013-07,54.246,
2013-10,54.407,
2014-01,54.483,
2014-04,54.271,
2014-07,55.613,
