"",BBK01.OEAC10G,BBK01.OEAC10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:33,
2002-01,45.444,
2002-04,47.966,
2002-07,47.726,
2002-10,47.528,
2003-01,47.272,
2003-04,45.016,
2003-07,48.553,
2003-10,49.695,
2004-01,49.546,
2004-04,51.158,
2004-07,50.857,
2004-10,50.331,
2005-01,49.246,
2005-04,49.134,
2005-07,49.082,
2005-10,47.678,
2006-01,46.289,
2006-04,46.103,
2006-07,46.800,
2006-10,46.809,
2007-01,46.930,
2007-04,48.538,
2007-07,49.854,
2007-10,50.121,
2008-01,49.498,
2008-04,49.972,
2008-07,51.031,
2008-10,51.326,
2009-01,51.745,
2009-04,53.371,
2009-07,53.506,
2009-10,52.528,
2010-01,52.898,
2010-04,53.197,
2010-07,53.691,
2010-10,53.754,
2011-01,54.035,
2011-04,54.103,
2011-07,54.178,
2011-10,54.219,
2012-01,54.573,
2012-04,55.176,
2012-07,56.330,
2012-10,57.189,
2013-01,57.430,
2013-04,57.915,
2013-07,55.197,
2013-10,55.532,
2014-01,55.252,
2014-04,55.493,
2014-07,55.959,
