"",BBK01.SUD130X,BBK01.SUD130X_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans for consumption to households,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:56,
2000-01,8.0517,Estimated value
2000-02,8.1974,Estimated value
2000-03,8.3379,Estimated value
2000-04,8.4266,Estimated value
2000-05,8.8597,Estimated value
2000-06,8.9916,Estimated value
2000-07,9.1237,Estimated value
2000-08,9.2628,Estimated value
2000-09,9.2405,Estimated value
2000-10,9.2448,Estimated value
2000-11,9.2261,Estimated value
2000-12,8.9421,Estimated value
2001-01,8.6843,Estimated value
2001-02,8.6934,Estimated value
2001-03,8.5792,Estimated value
2001-04,8.5878,Estimated value
2001-05,8.6293,Estimated value
2001-06,8.4390,Estimated value
2001-07,8.4370,Estimated value
2001-08,8.2560,Estimated value
2001-09,7.9521,Estimated value
2001-10,7.5876,Estimated value
2001-11,7.4223,Estimated value
2001-12,7.5152,Estimated value
2002-01,7.6735,Estimated value
2002-02,7.7865,Estimated value
2002-03,7.9901,Estimated value
2002-04,8.0252,Estimated value
2002-05,8.1107,Estimated value
2002-06,8.0341,Estimated value
2002-07,7.8335,Estimated value
2002-08,7.6466,Estimated value
2002-09,7.4680,Estimated value
2002-10,7.3665,Estimated value
2002-11,7.2764,Estimated value
2002-12,7.1233,Estimated value
