"",BBK01.OEHL07S,BBK01.OEHL07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:12,
2002-01,7.875,
2002-04,7.803,
2002-07,7.802,
2002-10,8.049,
2003-01,8.124,
2003-04,8.066,
2003-07,8.016,
2003-10,8.207,
2004-01,8.175,
2004-04,8.065,
2004-07,8.002,
2004-10,8.151,
2005-01,8.151,
2005-04,8.092,
2005-07,8.135,
2005-10,8.289,
2006-01,8.367,
2006-04,8.331,
2006-07,8.312,
2006-10,8.447,
2007-01,8.493,
2007-04,8.454,
2007-07,8.469,
2007-10,8.623,
2008-01,8.527,
2008-04,8.478,
2008-07,8.353,
2008-10,8.561,
2009-01,8.576,
2009-04,8.600,
2009-07,8.643,
2009-10,8.915,
2010-01,9.119,
2010-04,9.226,
2010-07,9.290,
2010-10,9.535,
2011-01,9.593,
2011-04,9.552,
2011-07,9.580,
2011-10,9.763,
2012-01,9.794,
2012-04,9.800,
2012-07,9.810,
2012-10,9.942,
2013-01,10.007,
2013-04,10.029,
2013-07,10.094,
2013-10,10.260,
2014-01,10.338,
2014-04,10.372,
2014-07,10.410,
